method	metric	value	signal_strength	rep
Focused_BH_original	power	3	1	223
Yekutieli	power	0	1	223
Structured_Holm	power	1	1	223
BH	fdp	0	1	223
Leaf_BH	fdp	0	1	223
Focused_BH_original	fdp	0	1	223
Yekutieli	fdp	0	1	223
Structured_Holm	fdp	0	1	223
BH	power	1	1	236
Leaf_BH	power	0	1	236
Focused_BH_original	power	1	1	236
Yekutieli	power	0	1	236
Structured_Holm	power	1	1	236
BH	fdp	0	1	236
Leaf_BH	fdp	0	1	236
Focused_BH_original	fdp	0	1	236
Yekutieli	fdp	0	1	236
Structured_Holm	fdp	0	1	236
BH	power	1	1	249
Leaf_BH	power	0	1	249
Focused_BH_original	power	1	1	249
Yekutieli	power	0	1	249
Structured_Holm	power	1	1	249
BH	fdp	0.6666666666666666	1	249
Leaf_BH	fdp	0	1	249
Focused_BH_original	fdp	0.5	1	249
Yekutieli	fdp	0	1	249
Structured_Holm	fdp	0	1	249
BH	power	4	1.5	12
Leaf_BH	power	0	1.5	12
Focused_BH_original	power	4	1.5	12
Yekutieli	power	0	1.5	12
Structured_Holm	power	3	1.5	12
BH	fdp	0	1.5	12
Leaf_BH	fdp	0	1.5	12
Focused_BH_original	fdp	0	1.5	12
Yekutieli	fdp	0	1.5	12
Structured_Holm	fdp	0	1.5	12
BH	power	4	1.5	25
Leaf_BH	power	0	1.5	25
Focused_BH_original	power	4	1.5	25
Yekutieli	power	0	1.5	25
Structured_Holm	power	3	1.5	25
BH	fdp	0.2	1.5	25
Leaf_BH	fdp	0	1.5	25
Focused_BH_original	fdp	0.2	1.5	25
Yekutieli	fdp	0	1.5	25
Structured_Holm	fdp	0	1.5	25
BH	power	3	1.5	38
Leaf_BH	power	0	1.5	38
Focused_BH_original	power	3	1.5	38
Yekutieli	power	0	1.5	38
Structured_Holm	power	2	1.5	38
BH	fdp	0	1.5	38
Leaf_BH	fdp	0	1.5	38
Focused_BH_original	fdp	0	1.5	38
Yekutieli	fdp	0	1.5	38
Structured_Holm	fdp	0	1.5	38
BH	power	2	1.5	51
Leaf_BH	power	0	1.5	51
Focused_BH_original	power	2	1.5	51
Yekutieli	power	0	1.5	51
Structured_Holm	power	2	1.5	51
BH	fdp	0	1.5	51
Leaf_BH	fdp	0	1.5	51
Focused_BH_original	fdp	0	1.5	51
Yekutieli	fdp	0	1.5	51
Structured_Holm	fdp	0	1.5	51
BH	power	3	1.5	64
Leaf_BH	power	0	1.5	64
Focused_BH_original	power	3	1.5	64
Yekutieli	power	0	1.5	64
Structured_Holm	power	3	1.5	64
BH	fdp	0	1.5	64
Leaf_BH	fdp	0	1.5	64
Focused_BH_original	fdp	0	1.5	64
Yekutieli	fdp	0	1.5	64
Structured_Holm	fdp	0	1.5	64
BH	power	4	1.5	77
Leaf_BH	power	0	1.5	77
Focused_BH_original	power	3	1.5	77
Yekutieli	power	0	1.5	77
Structured_Holm	power	3	1.5	77
BH	fdp	0	1.5	77
Leaf_BH	fdp	0	1.5	77
Focused_BH_original	fdp	0	1.5	77
Yekutieli	fdp	0	1.5	77
Structured_Holm	fdp	0	1.5	77
BH	power	5	1.5	90
Leaf_BH	power	1	1.5	90
Focused_BH_original	power	5	1.5	90
Yekutieli	power	9	1.5	90
Structured_Holm	power	3	1.5	90
BH	fdp	0	1.5	90
Leaf_BH	fdp	0	1.5	90
Focused_BH_original	fdp	0	1.5	90
Yekutieli	fdp	0	1.5	90
Structured_Holm	fdp	0	1.5	90
BH	power	2	1.5	103
Leaf_BH	power	0	1.5	103
Focused_BH_original	power	2	1.5	103
Yekutieli	power	0	1.5	103
Structured_Holm	power	2	1.5	103
BH	fdp	0	1.5	103
Leaf_BH	fdp	0	1.5	103
Focused_BH_original	fdp	0	1.5	103
Yekutieli	fdp	0	1.5	103
Structured_Holm	fdp	0	1.5	103
BH	power	4	1.5	116
Leaf_BH	power	0	1.5	116
Focused_BH_original	power	3	1.5	116
Yekutieli	power	0	1.5	116
Structured_Holm	power	2	1.5	116
BH	fdp	0	1.5	116
Leaf_BH	fdp	0	1.5	116
Focused_BH_original	fdp	0	1.5	116
Yekutieli	fdp	0	1.5	116
Structured_Holm	fdp	0	1.5	116
BH	power	3	1.5	129
Leaf_BH	power	0	1.5	129
Focused_BH_original	power	3	1.5	129
Yekutieli	power	0	1.5	129
Structured_Holm	power	3	1.5	129
BH	fdp	0	1.5	129
Leaf_BH	fdp	0	1.5	129
Focused_BH_original	fdp	0	1.5	129
Yekutieli	fdp	0	1.5	129
Structured_Holm	fdp	0	1.5	129
BH	power	3	1.5	142
Leaf_BH	power	0	1.5	142
Focused_BH_original	power	3	1.5	142
Yekutieli	power	0	1.5	142
Structured_Holm	power	3	1.5	142
BH	fdp	0	1.5	142
Leaf_BH	fdp	0	1.5	142
Focused_BH_original	fdp	0	1.5	142
Yekutieli	fdp	0	1.5	142
Structured_Holm	fdp	0	1.5	142
BH	power	3	1.5	155
Leaf_BH	power	0	1.5	155
Focused_BH_original	power	3	1.5	155
Yekutieli	power	0	1.5	155
Structured_Holm	power	3	1.5	155
BH	fdp	0	1.5	155
Leaf_BH	fdp	0	1.5	155
Focused_BH_original	fdp	0	1.5	155
Yekutieli	fdp	0	1.5	155
Structured_Holm	fdp	0	1.5	155
BH	power	2	1.5	168
Leaf_BH	power	0	1.5	168
Focused_BH_original	power	1	1.5	168
Yekutieli	power	0	1.5	168
Structured_Holm	power	1	1.5	168
BH	fdp	0	1.5	168
Leaf_BH	fdp	0	1.5	168
Focused_BH_original	fdp	0	1.5	168
Yekutieli	fdp	0	1.5	168
Structured_Holm	fdp	0	1.5	168
BH	power	3	1.5	181
Leaf_BH	power	0	1.5	181
Focused_BH_original	power	3	1.5	181
Yekutieli	power	0	1.5	181
Structured_Holm	power	3	1.5	181
BH	fdp	0	1.5	181
Leaf_BH	fdp	0	1.5	181
Focused_BH_original	fdp	0	1.5	181
Yekutieli	fdp	0	1.5	181
Structured_Holm	fdp	0	1.5	181
BH	power	5	1.5	194
Leaf_BH	power	0	1.5	194
Focused_BH_original	power	5	1.5	194
Yekutieli	power	0	1.5	194
Structured_Holm	power	5	1.5	194
BH	fdp	0.16666666666666666	1.5	194
Leaf_BH	fdp	0	1.5	194
Focused_BH_original	fdp	0.16666666666666666	1.5	194
Yekutieli	fdp	0	1.5	194
Structured_Holm	fdp	0	1.5	194
BH	power	1	1.5	207
Leaf_BH	power	0	1.5	207
Focused_BH_original	power	1	1.5	207
Yekutieli	power	0	1.5	207
Structured_Holm	power	1	1.5	207
BH	fdp	0	1.5	207
Leaf_BH	fdp	0	1.5	207
Focused_BH_original	fdp	0	1.5	207
Yekutieli	fdp	0	1.5	207
Structured_Holm	fdp	0	1.5	207
BH	power	3	1.5	220
Leaf_BH	power	0	1.5	220
Focused_BH_original	power	3	1.5	220
Yekutieli	power	0	1.5	220
Structured_Holm	power	3	1.5	220
BH	fdp	0.25	1.5	220
Leaf_BH	fdp	0	1.5	220
Focused_BH_original	fdp	0.25	1.5	220
Yekutieli	fdp	0	1.5	220
Structured_Holm	fdp	0	1.5	220
BH	power	4	1.5	233
Leaf_BH	power	0	1.5	233
Focused_BH_original	power	4	1.5	233
Yekutieli	power	0	1.5	233
Structured_Holm	power	3	1.5	233
BH	fdp	0	1.5	233
Leaf_BH	fdp	0	1.5	233
Focused_BH_original	fdp	0	1.5	233
Yekutieli	fdp	0	1.5	233
Structured_Holm	fdp	0	1.5	233
BH	power	2	1.5	246
Leaf_BH	power	0	1.5	246
Focused_BH_original	power	2	1.5	246
Yekutieli	power	0	1.5	246
Structured_Holm	power	2	1.5	246
BH	fdp	0.3333333333333333	1.5	246
Leaf_BH	fdp	0	1.5	246
Focused_BH_original	fdp	0.3333333333333333	1.5	246
Yekutieli	fdp	0	1.5	246
Structured_Holm	fdp	0	1.5	246
BH	power	6	2	9
Leaf_BH	power	5	2	9
Focused_BH_original	power	6	2	9
Yekutieli	power	9	2	9
Structured_Holm	power	5	2	9
BH	fdp	0.14285714285714285	2	9
Leaf_BH	fdp	0	2	9
Focused_BH_original	fdp	0	2	9
Yekutieli	fdp	0	2	9
Structured_Holm	fdp	0	2	9
BH	power	5	2	22
Leaf_BH	power	0	2	22
Focused_BH_original	power	5	2	22
Yekutieli	power	0	2	22
Structured_Holm	power	5	2	22
BH	fdp	0.16666666666666666	2	22
Leaf_BH	fdp	0	2	22
Focused_BH_original	fdp	0.16666666666666666	2	22
Yekutieli	fdp	0	2	22
Structured_Holm	fdp	0	2	22
BH	power	5	2	35
Leaf_BH	power	0	2	35
Focused_BH_original	power	4	2	35
Yekutieli	power	0	2	35
Structured_Holm	power	3	2	35
BH	fdp	0	2	35
Leaf_BH	fdp	0	2	35
Focused_BH_original	fdp	0	2	35
Yekutieli	fdp	0	2	35
Structured_Holm	fdp	0	2	35
BH	power	5	2	48
Leaf_BH	power	0	2	48
Focused_BH_original	power	5	2	48
Yekutieli	power	15	2	48
Structured_Holm	power	4	2	48
BH	fdp	0	2	48
Leaf_BH	fdp	0	2	48
Focused_BH_original	fdp	0	2	48
Yekutieli	fdp	0	2	48
Structured_Holm	fdp	0	2	48
BH	power	4	2	61
Leaf_BH	power	0	2	61
Focused_BH_original	power	4	2	61
Yekutieli	power	12	2	61
Structured_Holm	power	4	2	61
BH	fdp	0.3333333333333333	2	61
Leaf_BH	fdp	0	2	61
Focused_BH_original	fdp	0.3333333333333333	2	61
Yekutieli	fdp	0	2	61
Structured_Holm	fdp	0	2	61
BH	power	6	2	74
Leaf_BH	power	2	2	74
Focused_BH_original	power	6	2	74
Yekutieli	power	17	2	74
Structured_Holm	power	6	2	74
BH	fdp	0.25	2	74
Leaf_BH	fdp	0	2	74
Focused_BH_original	fdp	0.14285714285714285	2	74
Yekutieli	fdp	0.05555555555555555	2	74
Structured_Holm	fdp	0	2	74
BH	power	5	2	87
Leaf_BH	power	0	2	87
Focused_BH_original	power	5	2	87
Yekutieli	power	0	2	87
Structured_Holm	power	5	2	87
BH	fdp	0.2857142857142857	2	87
Leaf_BH	fdp	0	2	87
