pvalue	V_oracle	V_permutation
0	0	0
3.1522886999901914e-4	1	1
6.18114422918703e-4	2	2
7.267101824801612e-4	3	3
0.0010128318338340487	4	4
0.001405689223459737	5	5
0.001467970538088672	6	6
0.0017724557092095852	6	6
0.0020081274620853385	7	7
0.002354556201391689	8	8
0.0025216286965238383	9	9
0.0026157182259170008	10	10
0.0029068407299206447	11	11
0.0029068407299206447	12	12
0.0032671433806873425	13	13
0.0032671433806873425	13	13
0.003633550912400806	13	13
0.003633550912400806	13	13
0.003633550912400806	14	14
0.0038493205609189153	14	14
0.0038493205609189153	14	14
0.004160507620667892	15	15
0.004160507620667892	15	15
0.0043199985876897235	16	16
0.004360261094880967	17	17
0.004360261094880967	17	17
0.0044039116142660165	17	17
0.00441088759884423	18	18
0.004585341324604642	19	19
0.004618693162796278	20	20
0.004618693162796278	20	20
0.004709112402783378	20	20
0.004725325228150284	21	21
0.0050221364072737815	22	22
0.005043257393047677	22	22
0.005086971277361128	23	23
0.0050949714713136645	23	23
0.0052314364518340015	23	23
0.0052314364518340015	23	23
0.0052314364518340015	24	24
0.0052314364518340015	24	24
0.005470298384452774	25	25
0.005724090363161797	26	26
0.005813681459841289	27	27
0.005813681459841289	27	27
0.005813681459841289	27	27
0.005849622871264002	28	28
0.006050819124633246	29	29
0.006050819124633246	28	28
0.006050819124633246	28	28
0.006050819124633246	28	28
0.006170396028810091	28	28
0.006540391642321451	28	28
0.006540391642321451	28	28
0.006540391642321451	28	28
0.006540391642321451	28	28
0.006605867421399024	29	29
0.006605867421399024	29	29
0.0067439102656457	29	29
0.007063668604175068	29	29
0.007267101824801612	29	29
0.007267101824801612	29	29
0.00776348932676585	29	29
0.007993812007281774	30	30
0.007993812007281774	31	31
0.008227321065005679	31	31
0.008321015241335784	31	31
0.008469990819398929	32	32
0.008469990819398929	31	31
0.008491619118856108	31	31
0.008639997175379447	31	31
0.00873766811410713	32	32
0.00873766811410713	33	33
0.00873766811410713	34	34
0.00873766811410713	34	34
0.00873766811410713	34	34
0.010043280069962144	34	34
0.010043280069962144	34	34
0.010043280069962144	34	34
0.010043280069962144	34	34
0.010043280069962144	34	34
0.010044272814547563	34	34
0.010079996704609356	34	34
0.010086514786095353	34	34
0.010173942554722256	34	34
0.01024958649029273	34	34
0.01044230968638895	35	35
0.010680844961875146	35	35
0.010813099969864794	36	36
0.010892601641722024	36	36
0.010892601641722024	36	36
0.010922085142633913	36	36
0.01093377603635193	37	37
0.011027218997110575	38	38
0.011089459349399863	38	38
0.011106712851858163	38	38
0.011448180726323594	39	39
0.011448180726323594	40	40
0.011519996233839263	41	41
0.011588153590944134	42	42
0.011627362919682579	43	43
0.011633699266061054	43	43
0.011743764304709376	43	43
0.011767600583777911	43	43
0.011772781006958445	43	43
0.01198099854098846	43	43
0.012101638249266492	43	43
0.0121784847938762	44	44
0.0122494481133719	45	45
0.01227253119232419	46	46
0.01235407310216274	47	47
0.01235407310216274	47	47
0.01235407310216274	47	47
0.01295999576306917	47	47
0.012961028714584715	48	48
0.013078591129585003	48	48
0.013106502171160696	48	48
0.013106502171160696	48	48
0.01323266279653269	48	48
0.013240812995303677	48	48
0.013240812995303677	48	48
0.013240812995303677	48	48
0.013240812995303677	48	48
0.013472621963216204	48	48
0.0135748712633822	48	48
0.0135748712633822	48	48
0.013583694577784992	48	48
0.013610497903746556	48	48
0.01408524526426592	49	49
0.01408524526426592	48	48
0.014127337208350136	48	48
0.014127337208350136	48	48
0.014175975684450852	49	49
0.01447468993166102	50	50
0.01447468993166102	50	50
0.014595103766546392	51	51
0.01465082885860986	51	51
0.01490138169111066	52	52
0.01490138169111066	52	52
0.01490138169111066	52	52
0.01490138169111066	52	52
0.015011224859433618	52	52
0.015074847779344772	52	52
0.015222373784409923	53	53
0.015222373784409923	53	53
0.015222373784409923	53	53
0.015222373784409923	53	53
0.015222373784409923	53	53
0.015222373784409923	53	53
0.015222373784409923	53	53
0.015222373784409923	54	54
0.015222373784409923	54	54
0.015222373784409923	54	54
0.015290919199687478	54	54
0.015290919199687478	54	54
0.01550152180197406	54	54
0.01550691603352528	54	54
0.0155269786535317	54	54
0.015585129052408067	55	55
0.015585129052408067	56	56
0.015815806814465615	56	56
0.01597869769142403	57	57
0.01597869769142403	57	57
0.015987624014563547	57	57
0.016540828495665863	57	57
0.016570814593227543	58	58
0.01671433419704371	58	58
0.01671433419704371	58	58
0.016738201650440723	58	58
0.01674727127736242	58	58
0.01675567885391995	59	59
0.017269896173933912	59	59
0.017321942524135117	59	59
0.01740549485962246	60	60
0.017441044379523866	60	60
0.01747533622821426	59	60
0.01747533622821426	59	60
0.01747533622821426	59	60
0.01764355039537692	59	60
0.017656098024939754	59	60
0.01797149781148269	59	60
0.018013469831320343	60	61
0.018152457373899738	60	61
0.0184000945658866	60	61
0.018836449611133513	61	61
0.019025355722488105	62	62
0.019025355722488105	62	62
0.01939469427215074	62	62
0.019659753256741044	62	62
0.01981760226419707	62	62
0.019848994194799033	62	62
0.020086560139924287	61	62
0.020088545629095126	62	63
0.02032044665331591	62	63
0.020466611947980988	63	64
0.020492462454413746	64	65
0.020615489508628338	64	65
0.0208846193727779	64	65
0.0208846193727779	65	65
0.021074595291924673	65	65
0.021171263085054036	65	66
0.021171263085054036	66	66
0.02117786693621636	65	66
0.02126736155876532	67	67
0.02141955116672155	67	67
0.021528685778911313	66	67
0.021528685778911313	67	67
0.021528685778911313	67	67
0.021547250315837676	68	68
0.02159323382184516	69	69
0.02165840375212881	69	69
0.02165840375212881	69	69
0.021684717193462776	69	69
0.021684717193462776	70	70
0.021684717193462776	70	70
0.021684717193462776	71	71
0.021684717193462776	71	71
0.021684717193462776	72	72
0.021684717193462776	72	72
0.021684717193462776	72	72
0.021684717193462776	72	72
0.021801305474404835	72	72
0.021844170285267826	72	72
0.021844170285267826	72	72
0.02198435336376004	72	72
0.022178918698799725	72	72
0.022186336790321903	72	72
0.022314868007574012	72	72
0.022528015656884996	72	72
0.022528015656884996	72	72
0.022698212551629078	72	72
0.022790178224504225	72	72
0.022833560676614885	72	72
0.02284716393508868	72	72
0.022896361452647188	72	72
0.022896361452647188	72	72
0.023039992467678527	72	72
0.023048155557788604	72	72
0.023087539737108212	72	72
0.023095923365513492	73	73
0.02317630718188827	73	73
0.023219483264960167	74	74
0.02339849148505601	74	74
0.023541464033253006	75	75
0.023758743691802982	76	76
0.023910288510125922	75	76
0.023910288510125922	76	76
0.02396199708197692	76	76
0.02398143602184532	76	77
0.02402858731379461	76	77
0.02402858731379461	76	77
0.024234187995870963	76	77
0.024375744066397104	76	77
0.02461013391013425	77	78
0.02461013391013425	77	78
0.024681584115240365	77	78
0.024847092201872343	78	79
0.025020583645972948	78	79
0.025020583645972948	79	79
0.025077471828351	79	80
0.025182226539334683	80	80
0.025221684077506152	80	80
0.02591999152613834	80	80
0.026161566569285803	79	80
0.02621300434232139	79	80
0.02641866781482305	78	80
0.026424161285935624	78	80
0.026424161285935624	78	80
0.026702112404687863	78	80
0.026718897552860697	79	81
0.02685985290745141	79	81
0.02685985290745141	79	81
0.026888276751765965	80	81
0.027157454954640434	79	81
0.027305978484184933	80	81
0.027334440090879823	80	81
0.02747640096273593	80	81
0.027925136285466796	80	81
0.028022613390861793	80	81
0.028218440595167447	81	82
0.028383821732526418	81	82
0.028397421370848174	82	82
0.028397421370848174	82	82
0.028397421370848174	82	82
0.02840046696711654	83	83
0.028620451815808984	83	83
0.028620451815808984	82	83
0.028620451815808984	82	83
0.028795623727519877	83	84
0.02894937986332204	84	85
0.02894937986332204	83	85
0.02894937986332204	83	85
0.02894937986332204	84	85
0.028970383977360334	84	85
0.029248114356320014	85	85
0.02942683004156626	85	85
0.02955309886433245	85	85
0.029795117481686607	85	85
0.02999277814073279	85	85
0.030444747568819847	85	85
0.030444747568819847	85	85
0.030444747568819847	85	85
0.0304462119846905	86	86
0.030517035148233364	86	86
0.03087621319190961	86	86
0.031170258104816134	87	87
0.031170258104816134	87	87
0.031170258104816134	87	87
0.03124853784664693	87	87
0.03124853784664693	87	87
0.03124853784664693	87	87
0.03130414517861708	87	87
0.031345016838162335	85	87
0.03195739538284806	86	87
0.03195739538284806	85	87
0.03197893509162067	87	87
0.03215323821124241	87	87
0.032338603120367175	86	87
0.032338603120367175	86	87
0.032439299909594384	85	87
0.03251695224528287	85	87
0.032614950361955296	86	88
0.03266519496899173	88	89
0.03266519496899173	85	88
0.03266519496899173	85	88
0.032701958211607256	86	88
0.03271530396107793	86	88
0.03280132810905579	87	89
0.03280132810905579	87	89
0.03297069886428633	86	89
0.032992055954806074	87	89
0.03307727659705199	88	90
0.03308933870480869	89	90
0.03311998917228788	88	90
0.03326810583129426	89	90
0.033268378048199584	89	90
0.033268378048199584	89	90
0.033409863022138456	89	91
0.033411459052873585	88	91
0.033411459052873585	89	92
0.03347640330088145	89	92
0.03349454255472484	90	93
0.03349454255472484	90	93
0.033879963277595716	91	93
0.03391149251444483	92	94
0.03391149251444483	92	94
0.03391149251444483	92	94
0.03406152623520399	92	95
0.03410696266304681	92	95
0.03418437889104278	92	95
0.03418437889104278	93	96
