pvalue	V_oracle	V_permutation
0	0	0
2.6327665998870985e-4	1	1
2.982928027334128e-4	2	2
3.761095142695855e-4	3	3
3.761095142695855e-4	3	3
5.965856054668256e-4	4	4
7.146080771122124e-4	5	5
8.72159443786602e-4	6	6
8.72159443786602e-4	6	6
8.852853317000714e-4	7	7
8.948784082002384e-4	7	7
8.948784082002384e-4	7	7
0.0010201915083233306	8	8
0.0011283285428087563	8	8
0.001165939494235715	8	8
0.0012035504456626735	9	9
0.0012286374763237331	10	10
0.0012286374763237331	10	10
0.001241161397089632	10	10
0.001327927997550107	10	10
0.00147436497158848	10	10
0.001495234387579927	11	11
0.001495234387579927	11	11
0.001495234387579927	11	11
0.0016557484075665541	12	12
0.0016579772985822994	13	13
0.0016579772985822994	14	14
0.0018577830838724123	14	14
0.0020309913770557614	15	15
0.00208804961913389	15	15
0.00208804961913389	15	15
0.0021713477754716805	16	16
0.002443490663983864	16	16
0.0024439082464011745	17	17
0.0024572749526474663	18	18
0.0024869659478734493	18	18
0.0024869659478734493	18	18
0.0025021501429350885	18	18
0.0025575446970331813	19	19
0.0026905911622956504	19	19
0.00294872994317696	20	20
0.002982928027334128	21	21
0.002982928027334128	21	21
0.002990468775159854	21	21
0.002990468775159854	21	21
0.002990468775159854	21	21
0.002990468775159854	21	21
0.003060574524969992	21	21
0.0030984986609502497	21	21
0.0030984986609502497	21	21
0.003104528264187289	22	22
0.0031069068666935732	22	22
0.0031150818733405305	23	23
0.0031944574384417065	24	24
0.0031969308712914766	24	24
0.003315954597164599	24	24
0.003571420523588053	25	25
0.003723484191268896	25	25
0.0037304489218101737	25	25
0.0037304489218101737	25	25
0.003931639924235946	25	25
0.004144943246455749	25	25
0.004170250238225147	26	26
0.004337863898029927	27	27
0.004337863898029927	28	28
0.004342695550943361	28	28
0.00436079721893301	29	29
0.004361114622676743	29	30
0.004423094914765439	29	30
0.004474392041001192	29	30
0.004559437571101324	29	30
0.004559437571101324	29	30
0.004559437571101324	29	30
0.004559437571101324	29	30
0.0046688224100301864	30	30
0.004772684843734605	29	30
0.004798324344287284	30	31
0.004967245222699663	31	32
0.005178178111155955	31	32
0.005233771901710157	31	32
0.005311711990200428	31	32
0.00536927044920143	31	32
0.005406004895824426	32	32
0.005607147372012955	31	32
0.005651732391089173	32	32
0.005965856054668256	32	32
0.005980937550319708	32	32
0.005980937550319708	31	32
0.005980937550319708	31	32
0.0060054373315241525	31	32
0.006217414869683623	32	33
0.006541671934015114	33	34
0.006631909194329198	34	34
0.006822547748696956	34	34
0.006860734462868495	34	34
0.007046403518974773	34	34
0.007166605306371932	35	35
0.007166605306371932	36	36
0.007166605306371932	36	36
0.007213422521424864	37	37
0.007213422521424864	37	37
0.007213422521424864	37	37
0.007213422521424864	36	36
0.007247014198320316	37	37
0.007317028170351839	38	38
0.00745732006833532	39	39
0.007460897843620347	39	39
0.00746775509474817	39	39
0.007476171937899635	38	39
0.007476171937899635	38	39
0.0076175523532071455	37	38
0.007849434994079418	37	38
0.007875392168265922	37	38
0.008053905673802146	37	38
0.008161532066586645	37	38
0.008285084977849529	38	39
0.008410721058019432	38	39
0.008600462334266132	39	39
0.00862408469641364	38	39
0.008852853317000713	38	39
0.008922751116392525	39	40
0.008971406325479561	38	40
0.008971406325479561	38	40
0.008971406325479561	38	40
0.008971406325479561	38	40
0.009013651606553427	38	40
0.009013651606553427	38	40
0.009013651606553427	38	40
0.009013651606553427	38	40
0.009013651606553427	38	40
0.009091917324795626	38	40
0.009247076884735797	39	40
0.009247076884735797	39	40
0.009247076884735797	39	40
0.009343982575480856	40	41
0.009486249493475103	40	41
0.009533369466848221	40	41
0.00954536968746921	40	41
0.009593753881652622	40	41
0.009727521894453505	41	42
0.009774662091007759	42	43
0.009774662091007759	42	43
0.009843662490202623	42	43
0.009907672059333288	42	43
0.009968261994689698	41	43
0.010035402200833545	42	44
0.010035402200833545	44	45
0.010112500724389734	44	45
0.010112500724389734	44	45
0.010112500724389734	44	45
0.010141955292936036	44	45
0.01046664071305949	44	45
0.01046664071305949	43	45
0.01046664071305949	43	45
0.010467543803420314	43	45
0.010467543803420314	44	45
0.010714261570764159	45	46
0.010714261570764159	45	47
0.01073854089840286	45	47
0.010776852440784947	45	47
0.010812009791648852	45	47
0.011066066646250892	45	47
0.011066066646250892	45	47
0.01121429474402591	46	48
0.011222106591556636	45	48
0.011335126503869686	45	48
0.011437259930783936	46	49
0.011549192277443093	46	49
0.011605841090076096	46	49
0.011889261829592275	46	49
0.011961875100639415	47	50
0.012039223666580959	48	50
0.012066668701747229	48	51
0.012166699784313506	48	51
0.012166699784313506	50	51
0.012210232213012429	50	51
0.0123728706273598	50	52
0.012418113056749155	50	52
0.01242562413422244	50	52
0.01248284123723009	52	53
0.012691937757579158	53	54
0.01282659051753675	53	54
0.01282659051753675	53	54
0.013013591694089782	54	55
