pvalue	V_oracle	V_permutation
0	0	0
4.2300756149704703e-4	1	1
4.2300756149704703e-4	1	1
8.460151229940941e-4	1	1
0.0013101524949621379	2	2
0.0013101524949621379	3	3
0.001544702216138783	4	4
0.001544702216138783	5	5
0.001850654627036711	6	6
0.001850654627036711	6	6
0.001850654627036711	7	7
0.0019269283189294896	8	8
0.0019269283189294896	9	9
0.002033712097907264	10	10
0.0021942683161631006	11	11
0.0024618620132561614	11	11
0.002569237758572653	12	12
0.002569237758572653	12	12
0.002749475748474065	13	13
0.003089404432277566	14	14
0.003089404432277566	15	15
0.003203056085255846	15	15
0.003238645597314244	15	15
0.003463130691633294	16	16
0.003463130691633294	16	16
0.003463130691633294	16	16
0.003463130691633294	17	17
0.003463130691633294	17	17
0.003463130691633294	17	17
0.003463130691633294	17	17
0.003463130691633294	18	18
0.003463130691633294	18	18
0.003463130691633294	18	18
0.003463130691633294	18	18
0.003463130691633294	18	18
0.003487772181723032	18	18
0.003513864823628579	19	19
0.0037310998557106376	20	20
0.003979287232558364	21	21
0.004338146701766581	22	22
0.004555457543474981	23	23
0.004555457543474981	24	24
0.004653083176467517	24	24
0.005106169247166121	25	25
0.005138475517145306	25	25
0.005175102355100445	25	25
0.005242155893542492	25	25
0.005345865457288652	26	26
0.005695342621839135	27	27
0.005890006376091716	28	28
0.005968930848837546	28	28
0.0059910353069057044	28	28
0.006181752434121671	28	28
0.006423094396431632	28	28
0.006634849374063125	29	29
0.006833186315212471	28	28
0.006902709189112285	29	29
0.006904365339329268	29	29
0.006926261383266588	29	29
0.006926261383266588	29	29
0.006926261383266588	29	29
0.006926261383266588	29	29
0.006926261383266588	29	29
0.006926261383266588	30	30
0.006926261383266588	30	30
0.007099120317582867	30	30
0.007295359926357001	30	30
0.008037143668443894	30	30
0.00846015122994094	30	30
0.00846015122994094	30	30
0.008676293403533162	30	30
0.009285003542636183	31	31
0.00934199381606515	32	32
0.00934199381606515	32	32
0.00934199381606515	32	32
0.009515048726377437	33	33
0.009515048726377437	33	33
0.009642776765083193	33	33
0.009714585697744974	33	33
0.00973543237372177	33	33
0.010046143318337558	34	34
0.010088223609196706	34	34
0.010091872548311117	34	34
0.01015218147592913	34	34
0.010206182682535068	34	34
0.010276951034290611	35	35
0.010325542156996641	35	35
0.010389392074899882	35	35
0.010389392074899882	35	35
0.010389392074899882	35	35
0.010389392074899882	35	35
0.010389392074899882	35	35
0.010389392074899882	35	35
0.010389392074899882	35	35
0.010389392074899882	35	35
0.010389392074899882	35	35
0.01055282647005995	36	36
0.010919260473933774	35	35
0.011844211721917316	36	36
0.01190535728825971	36	36
0.01190535728825971	36	36
0.01190535728825971	36	36
0.01190535728825971	36	36
0.01190535728825971	36	36
0.011979858618351285	37	37
0.01208229049090982	37	37
0.012311280169494145	38	38
0.012311853761383343	39	39
0.012371286636787545	39	39
0.012372640868133293	40	40
0.012569031993024298	40	40
0.0125996892383762	41	41
0.0125996892383762	42	42
0.0125996892383762	42	42
0.012627898881742336	42	42
0.012627898881742336	42	42
0.012627898881742336	43	43
0.012627898881742336	43	43
0.012627898881742336	43	43
0.012627898881742336	43	43
0.012627898881742336	43	43
0.012627898881742336	43	43
0.012627898881742336	43	43
0.012627898881742336	43	43
0.012627898881742336	43	43
0.012840614576968282	43	43
0.012846188792863264	43	43
0.013364663643221631	43	43
0.013450964812262272	43	43
0.013479829440537834	43	43
0.013567919747219936	43	43
0.01380541837822457	44	44
0.01380541837822457	45	45
0.01380541837822457	45	45
0.01380541837822457	46	46
0.01380541837822457	46	46
0.01380541837822457	46	46
0.013852522766533176	46	46
0.013852522766533176	46	46
0.013852522766533176	46	46
0.013852522766533176	46	46
0.013852522766533176	46	46
0.013852522766533176	46	46
0.013927505313954274	46	46
0.013959249529402551	47	47
0.014532943241934344	48	48
0.014805264652396646	48	48
0.015154774627667351	49	49
0.015154774627667351	49	49
0.015309274023802602	49	49
0.015309274023802602	49	49
0.015415426551435917	49	49
0.015437006249139023	50	50
0.015744280689891428	51	51
0.016037596371865956	51	51
0.016074287336887788	51	51
0.016149115902474625	51	51
0.016300463365953387	52	52
0.016652921906600202	53	53
0.016700045430722243	53	53
0.017062996532364455	54	54
0.01713584402200643	55	55
0.017308154587203372	56	56
0.017308154587203372	57	57
0.01731565345816647	57	57
0.01731565345816647	57	57
0.01731974243161983	57	57
0.01743781430017834	57	57
0.01753105103716381	57	57
0.017766317582875977	57	57
0.01804675989105543	57	57
0.01809309183092301	57	57
0.01809309183092301	58	58
0.01809309183092301	58	58
0.01809309183092301	58	58
0.01809309183092301	58	58
0.018264374614863434	58	58
0.01847776984083317	59	59
0.018490468868010642	60	60
0.018490468868010642	60	60
0.018490468868010642	60	60
0.018556929955181316	60	60
0.018556929955181316	60	60
0.018585332628104516	60	60
0.01862701060884531	61	61
0.018646938007127384	62	62
0.0186839876321303	62	62
0.0186839876321303	62	62
0.018710529100510284	62	62
0.018710609812153785	62	62
0.0188995338575643	62	62
0.0188995338575643	62	62
0.019023070145649097	62	62
0.019030097452754875	62	62
0.019030097452754875	62	62
0.019484710235572307	62	62
0.019484710235572307	62	62
0.019659749839896712	62	62
0.019881355390361212	62	62
0.019904548122189374	62	62
0.01991159262893806	62	62
0.02008448451318135	63	63
0.02022396194507227	63	63
0.02022396194507227	63	63
0.02022396194507227	63	63
0.02022396194507227	64	64
0.02022396194507227	64	64
0.02022396194507227	64	64
0.020270815958648464	64	64
0.020270815958648464	64	64
0.020412365365070136	64	64
0.020423699478351022	65	65
0.020423699478351022	66	66
