1	2	34	32
2	2	35	32
3	2	36	32
4	2	40	39
5	2	41	39
6	2	57	55
7	2	74	73
8	2	75	73
9	2	83	82
10	2	100	99
11	2	101	99
12	2	102	99
13	2	105	104
14	2	126	125
15	2	127	125
16	2	128	125
17	3	143	141
18	2	114	148
19	2	151	150
20	3	199	198
21	2	206	205
22	2	208	207
23	2	239	238
24	2	240	238
25	2	241	238
26	2	249	248
27	2	261	260
28	2	263	262
29	2	258	264
30	2	259	265
31	2	290	289
32	2	291	289
33	2	292	289
34	3	294	293
35	3	295	293
36	3	297	296
37	3	299	298
38	2	302	301
39	2	303	301
40	2	302	304
41	2	303	304
42	2	302	305
43	2	303	305
44	2	308	307
45	3	324	323
46	2	340	339
47	2	342	341
48	3	395	394
49	3	395	396
50	3	398	397
51	3	398	401
52	2	555	561
53	2	562	561
54	2	563	561
55	2	646	645
56	2	1013	1012
57	2	1027	1026
58	2	1028	1026
59	3	1032	1031
60	2	1035	1034
61	2	1036	1034
62	3	1048	1047
63	2	1052	1051
64	2	1053	1051
65	2	1054	1051
66	3	1056	1055
67	3	1056	1057
68	3	1085	1084
69	3	1086	1084
70	3	1091	1093
71	2	1107	1106
72	2	1108	1106
73	2	1124	1123
74	2	1141	1140
75	2	1142	1140
76	3	1194	1193
77	3	1194	1195
78	3	1194	1196
79	3	1194	1197
80	3	1199	1198
81	3	1199	1200
82	3	1199	1201
83	3	1199	1202
84	3	1231	1230
85	3	1231	1232
86	3	1231	1233
87	3	1235	1234
88	2	1262	1261
89	2	75	1453
90	2	2443	2442
91	2	2444	2442
92	2	2445	2442
93	2	2446	2442
94	2	2520	2519
95	2	2523	2522
96	2	2525	2524
97	2	2527	2526
98	2	2529	2528
99	2	2552	2551
100	2	2552	2553
101	3	2592	2591
102	3	2895	2896
103	3	2897	2896
104	2	2898	2899
105	2	2898	2900
106	2	100	2901
107	2	2891	2908
108	2	2909	2908
109	2	835	2914
110	2	919	2914
111	2	2915	2914
112	2	735	2916
113	2	745	2916
114	2	829	2916
115	2	2917	2916
116	2	735	2918
117	2	745	2918
118	2	829	2918
119	2	2917	2918
120	2	2921	2920
121	2	2922	2920
122	2	749	2925
123	2	760	2925
124	2	787	2925
125	2	2926	2925
126	2	2928	2927
127	2	2933	2932
128	2	2935	2934
129	2	2937	2936
130	2	2939	2938
131	3	2941	2940
132	2	379	2951
133	2	379	2952
134	3	2954	2953
135	3	2956	2955
136	3	2962	2961
137	2	2964	2963
138	2	35	2963
139	2	36	2963
140	2	2964	2966
141	2	35	2966
142	2	36	2966
143	2	2968	2967
144	2	2969	2967
145	2	2970	2967
146	2	2971	2967
147	2	2972	2967
148	2	35	2967
149	2	36	2967
150	3	2974	2973
151	2	2964	2973
152	2	2964	2975
153	2	35	2975
154	2	2976	2975
155	2	2964	2977
156	2	35	2977
157	2	2976	2977
158	2	2979	2978
159	2	2980	2978
160	2	2983	2982
161	2	2984	2982
162	3	173	2985
163	2	2986	2985
164	2	2987	2985
165	3	2991	2990
166	3	2992	2990
167	3	2994	2993
168	3	2996	2995
169	3	2996	2997
170	3	2999	2998
