coding	num_affected
B381	0
B382	0
B383	0
B384	0
B387	0
B388	0
B389	0
B39	2
B390	0
B391	0
B392	0
B393	0
B394	0
B395	0
B399	2
B40	0
B400	0
B401	0
B402	0
B403	0
B407	0
B408	0
B409	0
B41	0
B410	0
B417	0
B418	0
B419	0
B42	0
B420	0
B421	0
B427	0
B428	0
B429	0
B43	1
B430	0
B431	0
B432	1
B438	0
B439	0
B44	82
B440	2
B441	57
B442	0
B447	0
B448	3
B449	20
B45	4
B450	1
B451	3
B452	0
B453	0
B457	0
B458	0
B459	0
B46	0
B460	0
B461	0
B462	0
B463	0
B464	0
B465	0
B468	0
B469	0
B47	3
B470	1
B471	0
B479	2
B48	0
B480	0
B481	0
B482	0
B483	0
B484	0
B487	0
B488	0
B49	11
B50	134
B500	0
B508	8
B509	126
B51	13
B510	0
B518	2
B519	11
B52	2
B520	0
B528	0
B529	2
B53	2
B530	1
B531	0
B538	1
B54	40
B55	2
B550	0
B551	1
B552	0
B559	1
B56	0
B560	0
B561	0
B569	0
B57	0
B570	0
B571	0
B572	0
B573	0
B574	0
B575	0
B58	12
B580	1
B581	0
B582	1
B583	0
B588	3
B589	7
B59	36
B60	5
B600	0
B601	5
B602	0
B608	0
B64	0
B65	8
B650	3
B651	1
B652	1
B653	1
B658	1
B659	1
B66	1
B660	0
B661	0
B662	0
B663	1
B664	0
B665	0
B668	0
B669	0
B67	6
B670	1
B671	0
B672	0
B673	0
B674	0
B675	1
B676	0
B677	0
B678	1
B679	3
B68	1
B680	0
B681	0
B689	1
B69	0
B690	0
B691	0
B698	0
B699	0
B70	0
B700	0
B701	0
B71	0
B710	0
B711	0
B718	0
B719	0
B72	0
B73	0
B74	0
B740	0
B741	0
B742	0
B743	0
B744	0
B748	0
B749	0
B75	0
B76	3
B760	0
B761	0
B768	0
B769	3
B77	1
B770	0
B778	0
B779	1
B78	1
B780	0
B781	0
B787	0
B789	1
B79	0
B80	28
B81	0
B810	0
B811	0
B812	0
B813	0
B814	0
B818	0
B82	6
B820	4
B829	2
B83	2
B830	0
B831	0
B832	1
B833	0
B834	0
B838	0
B839	1
B85	0
B850	0
B851	0
B852	0
B853	0
B854	0
B86	5
B87	2
B870	1
B871	0
B872	0
B873	0
B874	0
B878	0
B879	1
B88	2
B880	2
B881	0
B882	0
B883	0
B888	0
B889	0
B89	0
B90	1
B900	0
B901	0
B902	1
B908	0
B909	0
B91	1
B92	0
B94	0
B940	0
B941	0
B942	0
B948	0
B949	0
B95	4
B950	1
B951	1
B952	0
B953	0
B954	0
B955	0
B956	2
B957	0
B958	0
B96	8
B960	0
B961	0
B962	1
B963	0
B964	0
B965	0
B966	0
B967	0
B968	7
B97	8
B970	0
B971	0
B972	0
B973	1
B974	0
B975	0
B976	0
B977	5
B978	2
B98	0
B980	0
B981	0
B99	37
Block A00-A09	5810
Block A15-A19	206
Block A20-A28	20
Block A30-A49	2841
Block A50-A64	186
Block A65-A69	45
Block A70-A74	1
Block A75-A79	11
Block A80-A89	287
Block A92-A99	3
Block B00-B09	1276
Block B15-B19	495
Block B20-B24	166
Block B25-B34	1664
Block B35-B49	648
Block B50-B64	246
Block B65-B83	57
Block B85-B89	9
Block B90-B94	2
Block B95-B98	20
Block B99-B99	37
Block C00-C14	1315
Block C15-C26	10649
Block C30-C39	3477
Block C40-C41	137
Block C43-C44	16799
Block C45-C49	925
Block C50-C50	13937
Block C51-C58	3223
Block C60-C63	6482
Block C64-C68	4297
Block C69-C72	1050
Block C73-C75	528
Block C76-C80	5845
Block C81-C96	5514
Block C97-C97	83
Block D00-D09	5182
Block D10-D36	52677
Block D37-D48	4788
Block D50-D53	5974
Block D55-D59	224
Block D60-D64	6796
Block D65-D69	955
Block D70-D77	2223
Block D80-D89	777
Block E00-E07	2810
Block E10-E14	3068
Block E15-E16	613
Block E20-E35	1850
Block E40-E46	28
Block E50-E64	305
Block E65-E68	846
Block E70-E90	3160
Block F00-F09	482
Block F10-F19	1966
Block F20-F29	1071
Block F30-F39	3329
Block F40-F48	1698
Block F50-F59	281
Block F60-F69	292
Block F70-F79	7
Block F80-F89	31
Block F90-F98	9
Block F99-F99	196
Block G00-G09	447
Block G10-G14	243
Block G20-G26	690
Block G30-G32	249
Block G35-G37	1169
Block G40-G47	11285
Block G50-G59	15987
Block G60-G64	852
Block G70-G73	357
Block G80-G83	841
Block G90-G99	1554
Block H00-H06	11988
Block H10-H13	843
Block H15-H22	1023
Block H25-H28	29195
Block H30-H36	7290
Block H40-H42	2895
Block H43-H45	826
Block H46-H48	181
Block H49-H52	1536
Block H53-H54	941
Block H55-H59	535
Block H60-H62	1404
Block H65-H75	4346
Block H80-H83	1687
Block H90-H95	1711
Block I00-I02	7
Block I05-I09	676
Block I10-I15	1815
Block I20-I25	43020
Block I26-I28	3501
Block I30-I52	12771
Block I60-I69	8706
Block I70-I79	5028
Block I80-I89	37919
Block I95-I99	1249
Block J00-J06	2225
Block J09-J18	9152
Block J20-J22	5362
Block J30-J39	16759
Block J40-J47	7468
Block J60-J70	381
Block J80-J84	800
Block J85-J86	308
Block J90-J94	2370
Block J95-J99	1045
Block K00-K14	19301
Block K20-K31	73249
Block K35-K38	4191
Block K40-K46	38267
Block K50-K52	19018
Block K55-K64	69414
Block K65-K67	1094
Block K70-K77	2876
Block K80-K87	24734
Block K90-K93	10501
Block L00-L08	10554
Block L10-L14	106
Block L20-L30	1344
Block L40-L45	1363
Block L50-L54	486
Block L55-L59	2088
Block L60-L75	11599
Block L80-L99	14810
Block M00-M03	381
Block M05-M14	5217
Block M15-M19	38379
Block M20-M25	40485
Block M40-M43	1258
Block M45-M49	6278
Block M50-M54	14632
Block M60-M63	589
Block M65-M68	3032
Block M70-M79	23371
Block M80-M85	2670
Block M86-M90	1682
Block M91-M94	468
Block M95-M99	621
Block N00-N08	1062
Block N10-N16	3669
Block N17-N19	2928
Block N20-N23	9045
Block N25-N29	743
Block N30-N39	30739
Block N40-N51	18206
Block N60-N64	5986
Block N70-N77	3615
Block N80-N98	64567
Block N99-N99	874
Block O00-O08	5620
Block O10-O16	1435
Block O20-O29	4078
Block O30-O48	8676
Block O60-O75	11448
Block O80-O84	3345
Block O85-O92	340
Block O94-O99	947
Block P00-P04	2
Block P05-P08	4
Block P10-P15	10
Block P20-P29	4
Block P35-P39	2
Block P50-P61	2
Block P70-P74	0
Block P75-P78	0
Block P80-P83	2
Block P90-P96	0
Block Q00-Q07	106
Block Q10-Q18	303
Block Q20-Q28	871
Block Q30-Q34	55
Block Q35-Q37	28
Block Q38-Q45	349
Block Q50-Q56	293
Block Q60-Q64	189
Block Q65-Q79	377
Block Q80-Q89	483
Block Q90-Q99	21
Block R00-R09	56978
Block R10-R19	58297
Block R20-R23	4155
Block R25-R29	2354
Block R30-R39	27847
Block R40-R46	4432
Block R47-R49	1291
Block R50-R69	35410
Block R70-R79	4276
Block R80-R82	234
Block R83-R89	1903
Block R90-R94	4812
Block R95-R99	2
Block S00-S09	8434
Block S10-S19	738
Block S20-S29	1713
Block S30-S39	2059
Block S40-S49	3108
Block S50-S59	6745
Block S60-S69	7608
Block S70-S79	2905
Block S80-S89	7400
Block S90-S99	1392
Block T00-T07	166
Block T08-T14	330
Block T15-T19	958
Block T20-T25	513
Block T26-T28	27
Block T29-T32	32
Block T33-T35	7
Block T36-T50	5039
Block T51-T65	510
Block T66-T78	1194
Block T79-T79	293
Block T80-T88	21319
Block T90-T98	46
Block U00-U49	0
Block U82-U85	0
Block V01-V09	0
Block V10-V19	0
Block V20-V29	0
Block V30-V39	0
Block V40-V49	1
Block V50-V59	0
Block V60-V69	0
Block V70-V79	0
Block V80-V89	0
Block V90-V94	0
Block V95-V97	0
Block V98-V99	0
Block W00-W19	1
Block W20-W49	0
Block W50-W64	0
Block W65-W74	0
Block W75-W84	0
Block W85-W99	0
Block X00-X09	0
Block X10-X19	0
Block X20-X29	0
Block X30-X39	1
Block X40-X49	0
Block X50-X57	1
Block X58-X59	0
Block X60-X84	0
Block X85-X99	0
Block Y00-Y09	0
Block Y10-Y34	0
Block Y35-Y36	0
Block Y40-Y59	0
Block Y60-Y69	0
Block Y70-Y82	0
Block Y83-Y84	0
Block Y85-Y89	0
Block Y90-Y98	0
Block Z00-Z13	38611
Block Z20-Z29	185
Block Z30-Z39	12535
Block Z40-Z54	23840
Block Z55-Z65	18
Block Z70-Z76	625
Block Z80-Z99	1408
C00	54
C000	20
C001	17
C002	2
C003	2
C004	1
C005	0
C006	1
C008	0
C009	11
C01	152
C02	252
C020	1
C021	85
C022	17
C023	7
C024	26
C028	6
C029	110
C03	37
C030	8
C031	21
C039	8
C04	65
C040	11
C041	1
C048	5
C049	48
C05	71
C050	13
C051	34
C052	2
C058	2
C059	20
C06	76
C060	30
C061	4
C062	22
C068	4
C069	16
C07	85
C08	35
C080	15
C081	3
C088	1
C089	16
C09	249
C090	11
C091	10
C098	1
C099	227
C10	75
C100	6
C101	0
C102	2
C103	2
C104	1
C108	1
C109	63
C11	47
C110	2
C111	8
C112	1
C113	2
C118	0
C119	34
C12	40
C13	36
C130	13
C131	4
C132	0
C138	1
C139	18
C14	41
C140	34
C142	0
C148	7
C15	1153
C150	13
C151	7
C152	2
C153	33
C154	89
C155	444
C158	7
C159	558
C16	785
C160	315
C161	18
C162	31
C163	41
C164	22
