method	metric	value	signal_strength	rep
Focused_BH_original	power	0	1	3
Leaf_BH_1	power	0	1	3
Leaf_BH_2	power	0	1	3
Leaf_BH_3	power	0	1	3
Focused_BH_original	fdp	0	1	3
Leaf_BH_1	fdp	0	1	3
Leaf_BH_2	fdp	0	1	3
Leaf_BH_3	fdp	0	1	3
Focused_BH_original	power	1	1	16
Leaf_BH_1	power	0	1	16
Leaf_BH_2	power	1	1	16
Leaf_BH_3	power	0	1	16
Focused_BH_original	fdp	0	1	16
Leaf_BH_1	fdp	0	1	16
Leaf_BH_2	fdp	0	1	16
Leaf_BH_3	fdp	0	1	16
Focused_BH_original	power	0	1	29
Leaf_BH_1	power	0	1	29
Leaf_BH_2	power	0	1	29
Leaf_BH_3	power	0	1	29
Focused_BH_original	fdp	0	1	29
Leaf_BH_1	fdp	0	1	29
Leaf_BH_2	fdp	0	1	29
Leaf_BH_3	fdp	0	1	29
Focused_BH_original	power	0	1	42
Leaf_BH_1	power	0	1	42
Leaf_BH_2	power	0	1	42
Leaf_BH_3	power	0	1	42
Focused_BH_original	fdp	0	1	42
Leaf_BH_1	fdp	0	1	42
Leaf_BH_2	fdp	0	1	42
Leaf_BH_3	fdp	0	1	42
Focused_BH_original	power	0	1	55
Leaf_BH_1	power	0	1	55
Leaf_BH_2	power	0	1	55
Leaf_BH_3	power	0	1	55
Focused_BH_original	fdp	0	1	55
Leaf_BH_1	fdp	0	1	55
Leaf_BH_2	fdp	0	1	55
Leaf_BH_3	fdp	0	1	55
Focused_BH_original	power	0	1	68
Leaf_BH_1	power	0	1	68
Leaf_BH_2	power	0	1	68
Leaf_BH_3	power	0	1	68
Focused_BH_original	fdp	0	1	68
Leaf_BH_1	fdp	0	1	68
Leaf_BH_2	fdp	1	1	68
Leaf_BH_3	fdp	0	1	68
Focused_BH_original	power	0	1	81
Leaf_BH_1	power	0	1	81
Leaf_BH_2	power	0	1	81
Leaf_BH_3	power	0	1	81
Focused_BH_original	fdp	0	1	81
Leaf_BH_1	fdp	0	1	81
Leaf_BH_2	fdp	0	1	81
Leaf_BH_3	fdp	0	1	81
Focused_BH_original	power	0	1	94
Leaf_BH_1	power	0	1	94
Leaf_BH_2	power	1	1	94
Leaf_BH_3	power	0	1	94
Focused_BH_original	fdp	0	1	94
Leaf_BH_1	fdp	0	1	94
Leaf_BH_2	fdp	0	1	94
Leaf_BH_3	fdp	0	1	94
Focused_BH_original	power	0	1	107
Leaf_BH_1	power	0	1	107
Leaf_BH_2	power	0	1	107
Leaf_BH_3	power	0	1	107
Focused_BH_original	fdp	1	1	107
Leaf_BH_1	fdp	1	1	107
Leaf_BH_2	fdp	0	1	107
Leaf_BH_3	fdp	0	1	107
Focused_BH_original	power	0	1	120
Leaf_BH_1	power	0	1	120
Leaf_BH_2	power	0	1	120
Leaf_BH_3	power	0	1	120
Focused_BH_original	fdp	0	1	120
Leaf_BH_1	fdp	0	1	120
Leaf_BH_2	fdp	0	1	120
Leaf_BH_3	fdp	1	1	120
Focused_BH_original	power	0	1	133
Leaf_BH_1	power	0	1	133
Leaf_BH_2	power	0	1	133
Leaf_BH_3	power	0	1	133
Focused_BH_original	fdp	0	1	133
Leaf_BH_1	fdp	0	1	133
Leaf_BH_2	fdp	0	1	133
Leaf_BH_3	fdp	0	1	133
Focused_BH_original	power	0	1	146
Leaf_BH_1	power	0	1	146
Leaf_BH_2	power	0	1	146
Leaf_BH_3	power	0	1	146
Focused_BH_original	fdp	0	1	146
Leaf_BH_1	fdp	0	1	146
Leaf_BH_2	fdp	0	1	146
Leaf_BH_3	fdp	0	1	146
Focused_BH_original	power	0	1	159
Leaf_BH_1	power	0	1	159
Leaf_BH_2	power	0	1	159
Leaf_BH_3	power	0	1	159
Focused_BH_original	fdp	0	1	159
Leaf_BH_1	fdp	0	1	159
Leaf_BH_2	fdp	0	1	159
Leaf_BH_3	fdp	0	1	159
Focused_BH_original	power	0	1	172
Leaf_BH_1	power	0	1	172
Leaf_BH_2	power	0	1	172
Leaf_BH_3	power	0	1	172
Focused_BH_original	fdp	1	1	172
Leaf_BH_1	fdp	1	1	172
Leaf_BH_2	fdp	0	1	172
Leaf_BH_3	fdp	0	1	172
Focused_BH_original	power	0	1	185
Leaf_BH_1	power	0	1	185
Leaf_BH_2	power	1	1	185
Leaf_BH_3	power	0	1	185
Focused_BH_original	fdp	0	1	185
Leaf_BH_1	fdp	0	1	185
Leaf_BH_2	fdp	0.75	1	185
Leaf_BH_3	fdp	0	1	185
Focused_BH_original	power	0	1	198
Leaf_BH_1	power	0	1	198
Leaf_BH_2	power	0	1	198
Leaf_BH_3	power	0	1	198
Focused_BH_original	fdp	0	1	198
Leaf_BH_1	fdp	0	1	198
Leaf_BH_2	fdp	0	1	198
Leaf_BH_3	fdp	1	1	198
Focused_BH_original	power	0	1	211
Leaf_BH_1	power	0	1	211
Leaf_BH_2	power	2	1	211
Leaf_BH_3	power	0	1	211
Focused_BH_original	fdp	0	1	211
Leaf_BH_1	fdp	0	1	211
Leaf_BH_2	fdp	0.3333333333333333	1	211
Leaf_BH_3	fdp	0	1	211
Focused_BH_original	power	0	1	224
Leaf_BH_1	power	0	1	224
Leaf_BH_2	power	0	1	224
Leaf_BH_3	power	0	1	224
Focused_BH_original	fdp	0	1	224
Leaf_BH_1	fdp	0	1	224
Leaf_BH_2	fdp	0	1	224
Leaf_BH_3	fdp	1	1	224
Focused_BH_original	power	0	1	237
Leaf_BH_1	power	0	1	237
Leaf_BH_2	power	0	1	237
Leaf_BH_3	power	0	1	237
Focused_BH_original	fdp	0	1	237
Leaf_BH_1	fdp	0	1	237
Leaf_BH_2	fdp	0	1	237
Leaf_BH_3	fdp	0	1	237
Focused_BH_original	power	0	1	250
Leaf_BH_1	power	0	1	250
Leaf_BH_2	power	0	1	250
Leaf_BH_3	power	0	1	250
Focused_BH_original	fdp	0	1	250
Leaf_BH_1	fdp	0	1	250
Leaf_BH_2	fdp	0	1	250
Leaf_BH_3	fdp	0	1	250
Focused_BH_original	power	0	1.5	13
Leaf_BH_1	power	0	1.5	13
Leaf_BH_2	power	5	1.5	13
Leaf_BH_3	power	0	1.5	13
Focused_BH_original	fdp	0	1.5	13
Leaf_BH_1	fdp	0	1.5	13
Leaf_BH_2	fdp	0	1.5	13
Leaf_BH_3	fdp	0	1.5	13
Focused_BH_original	power	2	1.5	26
Leaf_BH_1	power	0	1.5	26
Leaf_BH_2	power	2	1.5	26
Leaf_BH_3	power	0	1.5	26
Focused_BH_original	fdp	0	1.5	26
Leaf_BH_1	fdp	0	1.5	26
Leaf_BH_2	fdp	0	1.5	26
Leaf_BH_3	fdp	0	1.5	26
Focused_BH_original	power	1	1.5	39
Leaf_BH_1	power	0	1.5	39
Leaf_BH_2	power	1	1.5	39
Leaf_BH_3	power	0	1.5	39
Focused_BH_original	fdp	0	1.5	39
Leaf_BH_1	fdp	0	1.5	39
Leaf_BH_2	fdp	0	1.5	39
Leaf_BH_3	fdp	0	1.5	39
Focused_BH_original	power	0	1.5	52
Leaf_BH_1	power	0	1.5	52
Leaf_BH_2	power	1	1.5	52
Leaf_BH_3	power	0	1.5	52
Focused_BH_original	fdp	0	1.5	52
Leaf_BH_1	fdp	0	1.5	52
Leaf_BH_2	fdp	0	1.5	52
Leaf_BH_3	fdp	0	1.5	52
Focused_BH_original	power	3	1.5	65
Leaf_BH_1	power	0	1.5	65
Leaf_BH_2	power	4	1.5	65
Leaf_BH_3	power	2	1.5	65
Focused_BH_original	fdp	0	1.5	65
Leaf_BH_1	fdp	0	1.5	65
Leaf_BH_2	fdp	0	1.5	65
Leaf_BH_3	fdp	0.3333333333333333	1.5	65
Focused_BH_original	power	2	1.5	78
Leaf_BH_1	power	0	1.5	78
Leaf_BH_2	power	4	1.5	78
Leaf_BH_3	power	2	1.5	78
Focused_BH_original	fdp	0.3333333333333333	1.5	78
Leaf_BH_1	fdp	0	1.5	78
Leaf_BH_2	fdp	0	1.5	78
Leaf_BH_3	fdp	0	1.5	78
Focused_BH_original	power	1	1.5	91
Leaf_BH_1	power	0	1.5	91
Leaf_BH_2	power	3	1.5	91
Leaf_BH_3	power	0	1.5	91
Focused_BH_original	fdp	0	1.5	91
Leaf_BH_1	fdp	0	1.5	91
Leaf_BH_2	fdp	0	1.5	91
Leaf_BH_3	fdp	0	1.5	91
Focused_BH_original	power	2	1.5	104
Leaf_BH_1	power	0	1.5	104
Leaf_BH_2	power	3	1.5	104
Leaf_BH_3	power	0	1.5	104
Focused_BH_original	fdp	0	1.5	104
Leaf_BH_1	fdp	0	1.5	104
Leaf_BH_2	fdp	0	1.5	104
