method	metric	value	signal_strength	rep
Focused_BH_original	power	0	1	4
Leaf_BH_1	power	0	1	4
Leaf_BH_2	power	1	1	4
Leaf_BH_3	power	0	1	4
Focused_BH_original	fdp	0	1	4
Leaf_BH_1	fdp	0	1	4
Leaf_BH_2	fdp	0	1	4
Leaf_BH_3	fdp	0	1	4
Focused_BH_original	power	0	1	17
Leaf_BH_1	power	0	1	17
Leaf_BH_2	power	0	1	17
Leaf_BH_3	power	0	1	17
Focused_BH_original	fdp	0	1	17
Leaf_BH_1	fdp	0	1	17
Leaf_BH_2	fdp	0	1	17
Leaf_BH_3	fdp	0	1	17
Focused_BH_original	power	0	1	30
Leaf_BH_1	power	0	1	30
Leaf_BH_2	power	0	1	30
Leaf_BH_3	power	0	1	30
Focused_BH_original	fdp	0	1	30
Leaf_BH_1	fdp	0	1	30
Leaf_BH_2	fdp	0	1	30
Leaf_BH_3	fdp	0	1	30
Focused_BH_original	power	1	1	43
Leaf_BH_1	power	0	1	43
Leaf_BH_2	power	1	1	43
Leaf_BH_3	power	0	1	43
Focused_BH_original	fdp	0	1	43
Leaf_BH_1	fdp	0	1	43
Leaf_BH_2	fdp	0	1	43
Leaf_BH_3	fdp	0	1	43
Focused_BH_original	power	1	1	56
Leaf_BH_1	power	0	1	56
Leaf_BH_2	power	2	1	56
Leaf_BH_3	power	0	1	56
Focused_BH_original	fdp	0	1	56
Leaf_BH_1	fdp	0	1	56
Leaf_BH_2	fdp	0	1	56
Leaf_BH_3	fdp	0	1	56
Focused_BH_original	power	0	1	69
Leaf_BH_1	power	0	1	69
Leaf_BH_2	power	1	1	69
Leaf_BH_3	power	0	1	69
Focused_BH_original	fdp	0	1	69
Leaf_BH_1	fdp	0	1	69
Leaf_BH_2	fdp	0	1	69
Leaf_BH_3	fdp	0	1	69
Focused_BH_original	power	1	1	82
Leaf_BH_1	power	0	1	82
Leaf_BH_2	power	1	1	82
Leaf_BH_3	power	1	1	82
Focused_BH_original	fdp	0	1	82
Leaf_BH_1	fdp	0	1	82
Leaf_BH_2	fdp	0.6666666666666666	1	82
Leaf_BH_3	fdp	0	1	82
Focused_BH_original	power	0	1	95
Leaf_BH_1	power	0	1	95
Leaf_BH_2	power	0	1	95
Leaf_BH_3	power	0	1	95
Focused_BH_original	fdp	0	1	95
Leaf_BH_1	fdp	0	1	95
Leaf_BH_2	fdp	0	1	95
Leaf_BH_3	fdp	0	1	95
Focused_BH_original	power	0	1	108
Leaf_BH_1	power	0	1	108
Leaf_BH_2	power	0	1	108
Leaf_BH_3	power	0	1	108
Focused_BH_original	fdp	0	1	108
Leaf_BH_1	fdp	0	1	108
Leaf_BH_2	fdp	0	1	108
Leaf_BH_3	fdp	0	1	108
Focused_BH_original	power	2	1	121
Leaf_BH_1	power	0	1	121
Leaf_BH_2	power	2	1	121
Leaf_BH_3	power	0	1	121
Focused_BH_original	fdp	0	1	121
Leaf_BH_1	fdp	0	1	121
Leaf_BH_2	fdp	0.3333333333333333	1	121
Leaf_BH_3	fdp	0	1	121
Focused_BH_original	power	0	1	134
Leaf_BH_1	power	0	1	134
Leaf_BH_2	power	2	1	134
Leaf_BH_3	power	0	1	134
Focused_BH_original	fdp	0	1	134
Leaf_BH_1	fdp	0	1	134
Leaf_BH_2	fdp	0.5	1	134
Leaf_BH_3	fdp	0	1	134
Focused_BH_original	power	0	1	147
Leaf_BH_1	power	0	1	147
Leaf_BH_2	power	0	1	147
Leaf_BH_3	power	0	1	147
Focused_BH_original	fdp	0	1	147
Leaf_BH_1	fdp	0	1	147
Leaf_BH_2	fdp	0	1	147
Leaf_BH_3	fdp	0	1	147
Focused_BH_original	power	0	1	160
Leaf_BH_1	power	0	1	160
Leaf_BH_2	power	0	1	160
Leaf_BH_3	power	0	1	160
Focused_BH_original	fdp	1	1	160
Leaf_BH_1	fdp	0	1	160
Leaf_BH_2	fdp	1	1	160
Leaf_BH_3	fdp	0	1	160
Focused_BH_original	power	0	1	173
Leaf_BH_1	power	0	1	173
Leaf_BH_2	power	2	1	173
Leaf_BH_3	power	0	1	173
Focused_BH_original	fdp	0	1	173
Leaf_BH_1	fdp	0	1	173
Leaf_BH_2	fdp	0	1	173
Leaf_BH_3	fdp	0	1	173
Focused_BH_original	power	0	1	186
Leaf_BH_1	power	0	1	186
Leaf_BH_2	power	0	1	186
Leaf_BH_3	power	0	1	186
Focused_BH_original	fdp	0	1	186
Leaf_BH_1	fdp	0	1	186
Leaf_BH_2	fdp	0	1	186
Leaf_BH_3	fdp	0	1	186
Focused_BH_original	power	0	1	199
Leaf_BH_1	power	0	1	199
Leaf_BH_2	power	0	1	199
Leaf_BH_3	power	0	1	199
Focused_BH_original	fdp	0	1	199
Leaf_BH_1	fdp	0	1	199
Leaf_BH_2	fdp	0	1	199
Leaf_BH_3	fdp	0	1	199
Focused_BH_original	power	0	1	212
Leaf_BH_1	power	0	1	212
Leaf_BH_2	power	1	1	212
Leaf_BH_3	power	0	1	212
Focused_BH_original	fdp	0	1	212
Leaf_BH_1	fdp	0	1	212
Leaf_BH_2	fdp	0	1	212
Leaf_BH_3	fdp	0	1	212
Focused_BH_original	power	0	1	225
Leaf_BH_1	power	0	1	225
Leaf_BH_2	power	3	1	225
Leaf_BH_3	power	1	1	225
Focused_BH_original	fdp	0	1	225
Leaf_BH_1	fdp	0	1	225
Leaf_BH_2	fdp	0.25	1	225
Leaf_BH_3	fdp	0	1	225
Focused_BH_original	power	0	1	238
Leaf_BH_1	power	0	1	238
Leaf_BH_2	power	0	1	238
Leaf_BH_3	power	2	1	238
Focused_BH_original	fdp	0	1	238
Leaf_BH_1	fdp	1	1	238
Leaf_BH_2	fdp	0	1	238
Leaf_BH_3	fdp	0.3333333333333333	1	238
Focused_BH_original	power	3	1.5	1
Leaf_BH_1	power	0	1.5	1
Leaf_BH_2	power	3	1.5	1
Leaf_BH_3	power	0	1.5	1
Focused_BH_original	fdp	0	1.5	1
Leaf_BH_1	fdp	0	1.5	1
Leaf_BH_2	fdp	0	1.5	1
Leaf_BH_3	fdp	0	1.5	1
Focused_BH_original	power	0	1.5	14
Leaf_BH_1	power	0	1.5	14
Leaf_BH_2	power	3	1.5	14
Leaf_BH_3	power	0	1.5	14
Focused_BH_original	fdp	0	1.5	14
Leaf_BH_1	fdp	0	1.5	14
Leaf_BH_2	fdp	0	1.5	14
Leaf_BH_3	fdp	0	1.5	14
Focused_BH_original	power	1	1.5	27
Leaf_BH_1	power	0	1.5	27
Leaf_BH_2	power	3	1.5	27
Leaf_BH_3	power	0	1.5	27
Focused_BH_original	fdp	0	1.5	27
Leaf_BH_1	fdp	0	1.5	27
Leaf_BH_2	fdp	0.25	1.5	27
Leaf_BH_3	fdp	0	1.5	27
Focused_BH_original	power	2	1.5	40
Leaf_BH_1	power	0	1.5	40
Leaf_BH_2	power	4	1.5	40
