method	metric	value	signal_strength	rep
Focused_BH_original	power	0	1	7
Leaf_BH_1	power	0	1	7
Leaf_BH_2	power	0	1	7
Leaf_BH_3	power	0	1	7
Focused_BH_original	fdp	0	1	7
Leaf_BH_1	fdp	0	1	7
Leaf_BH_2	fdp	1	1	7
Leaf_BH_3	fdp	0	1	7
Focused_BH_original	power	0	1	20
Leaf_BH_1	power	0	1	20
Leaf_BH_2	power	2	1	20
Leaf_BH_3	power	0	1	20
Focused_BH_original	fdp	0	1	20
Leaf_BH_1	fdp	0	1	20
Leaf_BH_2	fdp	0	1	20
Leaf_BH_3	fdp	1	1	20
Focused_BH_original	power	0	1	33
Leaf_BH_1	power	0	1	33
Leaf_BH_2	power	0	1	33
Leaf_BH_3	power	0	1	33
Focused_BH_original	fdp	1	1	33
Leaf_BH_1	fdp	0	1	33
Leaf_BH_2	fdp	0	1	33
Leaf_BH_3	fdp	0	1	33
Focused_BH_original	power	0	1	46
Leaf_BH_1	power	0	1	46
Leaf_BH_2	power	0	1	46
Leaf_BH_3	power	0	1	46
Focused_BH_original	fdp	0	1	46
Leaf_BH_1	fdp	1	1	46
Leaf_BH_2	fdp	0	1	46
Leaf_BH_3	fdp	0	1	46
Focused_BH_original	power	0	1	59
Leaf_BH_1	power	0	1	59
Leaf_BH_2	power	0	1	59
Leaf_BH_3	power	0	1	59
Focused_BH_original	fdp	1	1	59
Leaf_BH_1	fdp	1	1	59
Leaf_BH_2	fdp	0	1	59
Leaf_BH_3	fdp	0	1	59
Focused_BH_original	power	0	1	72
Leaf_BH_1	power	0	1	72
Leaf_BH_2	power	0	1	72
Leaf_BH_3	power	0	1	72
Focused_BH_original	fdp	0	1	72
Leaf_BH_1	fdp	0	1	72
Leaf_BH_2	fdp	0	1	72
Leaf_BH_3	fdp	0	1	72
Focused_BH_original	power	1	1	85
Leaf_BH_1	power	0	1	85
Leaf_BH_2	power	1	1	85
Leaf_BH_3	power	0	1	85
Focused_BH_original	fdp	0.5	1	85
Leaf_BH_1	fdp	0	1	85
Leaf_BH_2	fdp	0	1	85
Leaf_BH_3	fdp	0	1	85
Focused_BH_original	power	0	1	98
Leaf_BH_1	power	0	1	98
Leaf_BH_2	power	0	1	98
Leaf_BH_3	power	0	1	98
Focused_BH_original	fdp	0	1	98
Leaf_BH_1	fdp	0	1	98
Leaf_BH_2	fdp	0	1	98
Leaf_BH_3	fdp	0	1	98
Focused_BH_original	power	0	1	111
Leaf_BH_1	power	0	1	111
Leaf_BH_2	power	0	1	111
Leaf_BH_3	power	0	1	111
Focused_BH_original	fdp	1	1	111
Leaf_BH_1	fdp	1	1	111
Leaf_BH_2	fdp	0	1	111
Leaf_BH_3	fdp	0	1	111
Focused_BH_original	power	0	1	124
Leaf_BH_1	power	0	1	124
Leaf_BH_2	power	0	1	124
Leaf_BH_3	power	0	1	124
Focused_BH_original	fdp	0	1	124
Leaf_BH_1	fdp	0	1	124
Leaf_BH_2	fdp	1	1	124
Leaf_BH_3	fdp	0	1	124
Focused_BH_original	power	0	1	137
Leaf_BH_1	power	0	1	137
Leaf_BH_2	power	0	1	137
Leaf_BH_3	power	1	1	137
Focused_BH_original	fdp	1	1	137
Leaf_BH_1	fdp	0	1	137
Leaf_BH_2	fdp	1	1	137
Leaf_BH_3	fdp	0	1	137
Focused_BH_original	power	1	1	150
Leaf_BH_1	power	1	1	150
Leaf_BH_2	power	1	1	150
Leaf_BH_3	power	0	1	150
Focused_BH_original	fdp	0	1	150
Leaf_BH_1	fdp	0	1	150
Leaf_BH_2	fdp	0	1	150
Leaf_BH_3	fdp	0	1	150
Focused_BH_original	power	0	1	163
Leaf_BH_1	power	0	1	163
Leaf_BH_2	power	1	1	163
Leaf_BH_3	power	0	1	163
Focused_BH_original	fdp	1	1	163
Leaf_BH_1	fdp	1	1	163
Leaf_BH_2	fdp	0.8	1	163
Leaf_BH_3	fdp	0	1	163
Focused_BH_original	power	0	1	176
Leaf_BH_1	power	0	1	176
Leaf_BH_2	power	0	1	176
Leaf_BH_3	power	0	1	176
Focused_BH_original	fdp	1	1	176
Leaf_BH_1	fdp	1	1	176
Leaf_BH_2	fdp	1	1	176
Leaf_BH_3	fdp	0	1	176
Focused_BH_original	power	1	1	189
Leaf_BH_1	power	0	1	189
Leaf_BH_2	power	4	1	189
Leaf_BH_3	power	0	1	189
Focused_BH_original	fdp	0	1	189
Leaf_BH_1	fdp	0	1	189
Leaf_BH_2	fdp	0	1	189
Leaf_BH_3	fdp	0	1	189
Focused_BH_original	power	0	1	202
Leaf_BH_1	power	0	1	202
Leaf_BH_2	power	1	1	202
Leaf_BH_3	power	1	1	202
Focused_BH_original	fdp	0	1	202
Leaf_BH_1	fdp	0	1	202
Leaf_BH_2	fdp	0	1	202
Leaf_BH_3	fdp	0	1	202
Focused_BH_original	power	0	1	215
Leaf_BH_1	power	0	1	215
Leaf_BH_2	power	0	1	215
Leaf_BH_3	power	1	1	215
Focused_BH_original	fdp	0	1	215
Leaf_BH_1	fdp	0	1	215
Leaf_BH_2	fdp	0	1	215
Leaf_BH_3	fdp	0.5	1	215
Focused_BH_original	power	0	1	228
Leaf_BH_1	power	0	1	228
Leaf_BH_2	power	1	1	228
Leaf_BH_3	power	0	1	228
Focused_BH_original	fdp	1	1	228
Leaf_BH_1	fdp	1	1	228
Leaf_BH_2	fdp	0.5	1	228
Leaf_BH_3	fdp	0	1	228
Focused_BH_original	power	0	1	241
Leaf_BH_1	power	0	1	241
Leaf_BH_2	power	0	1	241
Leaf_BH_3	power	0	1	241
Focused_BH_original	fdp	1	1	241
Leaf_BH_1	fdp	0	1	241
Leaf_BH_2	fdp	1	1	241
Leaf_BH_3	fdp	0	1	241
Focused_BH_original	power	0	1.5	4
Leaf_BH_1	power	0	1.5	4
Leaf_BH_2	power	2	1.5	4
Leaf_BH_3	power	0	1.5	4
Focused_BH_original	fdp	1	1.5	4
Leaf_BH_1	fdp	1	1.5	4
Leaf_BH_2	fdp	0.3333333333333333	1.5	4
Leaf_BH_3	fdp	0	1.5	4
Focused_BH_original	power	1	1.5	17
Leaf_BH_1	power	0	1.5	17
Leaf_BH_2	power	3	1.5	17
Leaf_BH_3	power	0	1.5	17
Focused_BH_original	fdp	0	1.5	17
Leaf_BH_1	fdp	0	1.5	17
Leaf_BH_2	fdp	0	1.5	17
Leaf_BH_3	fdp	0	1.5	17
Focused_BH_original	power	2	1.5	30
Leaf_BH_1	power	0	1.5	30
Leaf_BH_2	power	5	1.5	30
Leaf_BH_3	power	0	1.5	30
Focused_BH_original	fdp	0	1.5	30
Leaf_BH_1	fdp	0	1.5	30
Leaf_BH_2	fdp	0	1.5	30
Leaf_BH_3	fdp	0	1.5	30
Focused_BH_original	power	3	1.5	43
Leaf_BH_1	power	0	1.5	43
Leaf_BH_2	power	3	1.5	43
Leaf_BH_3	power	0	1.5	43
Focused_BH_original	fdp	0.25	1.5	43
Leaf_BH_1	fdp	0	1.5	43
Leaf_BH_2	fdp	0	1.5	43
Leaf_BH_3	fdp	0	1.5	43
Focused_BH_original	power	2	1.5	56
Leaf_BH_1	power	0	1.5	56
Leaf_BH_2	power	3	1.5	56
Leaf_BH_3	power	2	1.5	56
Focused_BH_original	fdp	0	1.5	56
Leaf_BH_1	fdp	0	1.5	56
Leaf_BH_2	fdp	0.25	1.5	56
Leaf_BH_3	fdp	0	1.5	56
Focused_BH_original	power	2	1.5	69
Leaf_BH_1	power	1	1.5	69
Leaf_BH_2	power	2	1.5	69
Leaf_BH_3	power	2	1.5	69
Focused_BH_original	fdp	0	1.5	69
Leaf_BH_1	fdp	0	1.5	69
Leaf_BH_2	fdp	0	1.5	69
Leaf_BH_3	fdp	0.3333333333333333	1.5	69
Focused_BH_original	power	0	1.5	82
Leaf_BH_1	power	0	1.5	82
Leaf_BH_2	power	1	1.5	82
Leaf_BH_3	power	0	1.5	82
Focused_BH_original	fdp	1	1.5	82
Leaf_BH_1	fdp	1	1.5	82
Leaf_BH_2	fdp	0.5	1.5	82
Leaf_BH_3	fdp	0	1.5	82
Focused_BH_original	power	1	1.5	95
Leaf_BH_1	power	0	1.5	95
Leaf_BH_2	power	3	1.5	95
Leaf_BH_3	power	1	1.5	95
Focused_BH_original	fdp	0	1.5	95
Leaf_BH_1	fdp	0	1.5	95
Leaf_BH_2	fdp	0	1.5	95
Leaf_BH_3	fdp	0	1.5	95
Focused_BH_original	power	3	1.5	108
Leaf_BH_1	power	0	1.5	108
Leaf_BH_2	power	5	1.5	108
Leaf_BH_3	power	0	1.5	108
Focused_BH_original	fdp	0	1.5	108
Leaf_BH_1	fdp	0	1.5	108
Leaf_BH_2	fdp	0.16666666666666666	1.5	108
Leaf_BH_3	fdp	0	1.5	108
Focused_BH_original	power	1	1.5	121
Leaf_BH_1	power	0	1.5	121
Leaf_BH_2	power	3	1.5	121
Leaf_BH_3	power	0	1.5	121
Focused_BH_original	fdp	0	1.5	121
Leaf_BH_1	fdp	0	1.5	121
Leaf_BH_2	fdp	0	1.5	121
Leaf_BH_3	fdp	0	1.5	121
Focused_BH_original	power	0	1.5	134
Leaf_BH_1	power	0	1.5	134
Leaf_BH_2	power	4	1.5	134
Leaf_BH_3	power	2	1.5	134
Focused_BH_original	fdp	0	1.5	134
Leaf_BH_1	fdp	0	1.5	134
Leaf_BH_2	fdp	0	1.5	134
Leaf_BH_3	fdp	0	1.5	134
Focused_BH_original	power	2	1.5	147
Leaf_BH_1	power	0	1.5	147
Leaf_BH_2	power	2	1.5	147
Leaf_BH_3	power	0	1.5	147
Focused_BH_original	fdp	0	1.5	147
Leaf_BH_1	fdp	0	1.5	147
Leaf_BH_2	fdp	0	1.5	147
Leaf_BH_3	fdp	0	1.5	147
Focused_BH_original	power	0	1.5	160
Leaf_BH_1	power	0	1.5	160
Leaf_BH_2	power	5	1.5	160
Leaf_BH_3	power	0	1.5	160
Focused_BH_original	fdp	0	1.5	160
Leaf_BH_1	fdp	0	1.5	160
Leaf_BH_2	fdp	0.2857142857142857	1.5	160
Leaf_BH_3	fdp	0	1.5	160
Focused_BH_original	power	2	1.5	173
Leaf_BH_1	power	0	1.5	173
Leaf_BH_2	power	5	1.5	173
Leaf_BH_3	power	1	1.5	173
Focused_BH_original	fdp	0	1.5	173
Leaf_BH_1	fdp	0	1.5	173
Leaf_BH_2	fdp	0	1.5	173
Leaf_BH_3	fdp	0.5	1.5	173
Focused_BH_original	power	2	1.5	186
Leaf_BH_1	power	0	1.5	186
Leaf_BH_2	power	5	1.5	186
Leaf_BH_3	power	1	1.5	186
Focused_BH_original	fdp	0	1.5	186
Leaf_BH_1	fdp	0	1.5	186
Leaf_BH_2	fdp	0.4444444444444444	1.5	186
Leaf_BH_3	fdp	0.5	1.5	186
Focused_BH_original	power	0	1.5	199
Leaf_BH_1	power	0	1.5	199
Leaf_BH_2	power	4	1.5	199
Leaf_BH_3	power	0	1.5	199
Focused_BH_original	fdp	0	1.5	199
Leaf_BH_1	fdp	0	1.5	199
Leaf_BH_2	fdp	0.2	1.5	199
Leaf_BH_3	fdp	0	1.5	199
Focused_BH_original	power	3	1.5	212
Leaf_BH_1	power	0	1.5	212
Leaf_BH_2	power	6	1.5	212
Leaf_BH_3	power	1	1.5	212
Focused_BH_original	fdp	0.25	1.5	212
Leaf_BH_1	fdp	0	1.5	212
Leaf_BH_2	fdp	0.14285714285714285	1.5	212
Leaf_BH_3	fdp	0.5	1.5	212
Focused_BH_original	power	4	1.5	225
Leaf_BH_1	power	1	1.5	225
Leaf_BH_2	power	6	1.5	225
Leaf_BH_3	power	1	1.5	225
Focused_BH_original	fdp	0	1.5	225
Leaf_BH_1	fdp	0	1.5	225
Leaf_BH_2	fdp	0	1.5	225
Leaf_BH_3	fdp	0	1.5	225
Focused_BH_original	power	2	1.5	238
Leaf_BH_1	power	0	1.5	238
Leaf_BH_2	power	2	1.5	238
Leaf_BH_3	power	1	1.5	238
Focused_BH_original	fdp	0.3333333333333333	1.5	238
Leaf_BH_1	fdp	0	1.5	238
Leaf_BH_2	fdp	0	1.5	238
Leaf_BH_3	fdp	0	1.5	238
Focused_BH_original	power	5	2	1
Leaf_BH_1	power	1	2	1
Leaf_BH_2	power	5	2	1
Leaf_BH_3	power	0	2	1
Focused_BH_original	fdp	0.375	2	1
Leaf_BH_1	fdp	0.75	2	1
Leaf_BH_2	fdp	0.16666666666666666	2	1
Leaf_BH_3	fdp	0	2	1
Focused_BH_original	power	7	2	14
Leaf_BH_1	power	0	2	14
Leaf_BH_2	power	7	2	14
Leaf_BH_3	power	4	2	14
Focused_BH_original	fdp	0.2222222222222222	2	14
Leaf_BH_1	fdp	0	2	14
Leaf_BH_2	fdp	0.2222222222222222	2	14
Leaf_BH_3	fdp	0	2	14
Focused_BH_original	power	8	2	27
