method	metric	value	signal_strength	rep
Focused_BH_original	fdp	0	1	239
Leaf_BH_1	fdp	0	1	239
Leaf_BH_2	fdp	1	1	239
Leaf_BH_3	fdp	1	1	239
Focused_BH_original	power	0	1.5	2
Leaf_BH_1	power	0	1.5	2
Leaf_BH_2	power	0	1.5	2
Leaf_BH_3	power	0	1.5	2
Focused_BH_original	fdp	0	1.5	2
Leaf_BH_1	fdp	0	1.5	2
Leaf_BH_2	fdp	0	1.5	2
Leaf_BH_3	fdp	0	1.5	2
Focused_BH_original	power	3	1.5	15
Leaf_BH_1	power	0	1.5	15
Leaf_BH_2	power	4	1.5	15
Leaf_BH_3	power	0	1.5	15
Focused_BH_original	fdp	0.25	1.5	15
Leaf_BH_1	fdp	0	1.5	15
Leaf_BH_2	fdp	0	1.5	15
Leaf_BH_3	fdp	0	1.5	15
Focused_BH_original	power	2	1.5	28
Leaf_BH_1	power	0	1.5	28
Leaf_BH_2	power	4	1.5	28
Leaf_BH_3	power	0	1.5	28
Focused_BH_original	fdp	0	1.5	28
Leaf_BH_1	fdp	0	1.5	28
Leaf_BH_2	fdp	0	1.5	28
Leaf_BH_3	fdp	1	1.5	28
Focused_BH_original	power	1	1.5	41
Leaf_BH_1	power	0	1.5	41
Leaf_BH_2	power	8	1.5	41
Leaf_BH_3	power	0	1.5	41
Focused_BH_original	fdp	0.5	1.5	41
Leaf_BH_1	fdp	0	1.5	41
Leaf_BH_2	fdp	0	1.5	41
Leaf_BH_3	fdp	0	1.5	41
Focused_BH_original	power	0	1.5	54
Leaf_BH_1	power	0	1.5	54
Leaf_BH_2	power	2	1.5	54
Leaf_BH_3	power	0	1.5	54
Focused_BH_original	fdp	0	1.5	54
Leaf_BH_1	fdp	0	1.5	54
Leaf_BH_2	fdp	0	1.5	54
Leaf_BH_3	fdp	0	1.5	54
Focused_BH_original	power	2	1.5	67
Leaf_BH_1	power	0	1.5	67
Leaf_BH_2	power	2	1.5	67
Leaf_BH_3	power	3	1.5	67
Focused_BH_original	fdp	0	1.5	67
Leaf_BH_1	fdp	0	1.5	67
Leaf_BH_2	fdp	0	1.5	67
Leaf_BH_3	fdp	0.5714285714285714	1.5	67
Focused_BH_original	power	1	1.5	80
Leaf_BH_1	power	0	1.5	80
Leaf_BH_2	power	3	1.5	80
Leaf_BH_3	power	0	1.5	80
Focused_BH_original	fdp	0	1.5	80
Leaf_BH_1	fdp	0	1.5	80
