pvalue	V_permutation
0	0
3.297556476844476e-5	1
3.3093688682539425e-5	2
8.91481753090284e-5	3
1.7334823387149572e-4	4
1.8634030295905344e-4	5
1.962046549760509e-4	6
2.249723466880574e-4	7
3.092532817355708e-4	8
3.167623311630673e-4	9
3.1782349446162357e-4	10
3.2809914467091163e-4	11
3.337064772156445e-4	12
3.5941502028846695e-4	13
3.6103533595155455e-4	14
4.235016681005672e-4	14
4.235016681005672e-4	15
4.885219212467955e-4	15
5.016098296731789e-4	16
5.557152426742809e-4	17
6.104410566784368e-4	17
6.608775192906715e-4	18
6.915278283136081e-4	19
7.013991642361713e-4	20
7.729904783788655e-4	21
7.754992162207764e-4	22
8.155395885250954e-4	23
8.388073206986298e-4	24
0.0010970374360960184	25
0.0011025822989264179	26
0.0011538900791054905	27
0.001175323311939479	28
0.0012149277985470399	29
0.0012309531685463786	30
0.0013625371042382877	31
0.0013848508448397506	31
0.0014592280401320996	32
0.001463167297257817	33
0.0014710729136281349	34
0.0017529657325703355	35
0.0020106984872877453	36
0.002047888601071866	37
0.002127107067474673	37
0.0021349153975092133	38
0.0022305812107852323	39
0.0022932771423951875	39
0.002387919198935774	40
0.0024874977163689216	41
0.0024931514288231097	42
0.002498771006252844	43
0.002517371426934759	43
0.0025819316813686624	44
0.0026962122095523008	45
0.0027481701407600072	46
0.002765538777366632	47
0.0028774434855855183	48
0.002913758135139492	49
0.0029449184424205073	50
0.0029729537862330834	50
0.0030514489768982992	51
0.003129324424314908	52
0.0031372901341626415	52
0.0031509644447899068	53
0.003165664358018126	54
0.0032218169111126816	55
0.003272907688749222	56
0.003353848049929118	57
0.0034628857666324513	58
0.0036403052578837325	59
0.003665102525348347	60
0.0036783925588491717	61
0.003712412150541751	62
0.0037239978206354777	63
0.0037690519938892242	64
0.003799454529787912	65
0.00380186203951294	66
0.0038755981268869815	67
0.003892777411690041	68
0.0038936294782868693	69
0.003907247475593236	70
0.003917684698242609	71
0.0040122460267108	72
0.004045198278464506	73
0.004063236614062941	74
0.004105976483896103	75
0.004125216172372613	76
0.0042210660302937075	77
0.004330357552288945	78
0.004477167993825149	79
0.004479453783680197	80
0.0044915968490896185	81
0.004505714135627952	82
0.004537263304866703	83
0.004553047816625919	84
0.0045582482117944075	85
0.004601006529472823	86
0.004649435508800708	87
0.004696912454954192	87
0.004705994980575115	88
0.0047318551112195475	89
0.004754740223594456	90
0.004826453396275752	90
0.004826453396275752	91
0.004841187154508885	92
0.004884248522295641	93
0.004895589545689355	94
0.00492945687932877	95
0.005054673794991915	96
0.005078199442087537	97
0.005089692504836707	98
0.005203522433147597	99
0.005250576711924415	100
0.005288289757518137	101
0.005351616823311879	102
0.0054464039041932704	103
0.005485797269996556	104
0.005508961448618015	105
0.005542319329904682	106
0.005583497114453497	107
0.00575594134956792	108
0.005824970328866301	109
0.005866459802502333	110
0.005888558739346132	110
0.005917591390358394	111
0.005959737414763305	112
0.005995329438514394	113
0.006015228310681799	114
0.00614173699598086	115
0.00625291440377383	115
0.006338791235758208	116
0.006356191801273884	117
0.006357376431869058	118
0.0064531205955026425	119
0.0064939235601337965	120
0.006515822548522353	121
0.006617485518874426	122
0.0066244148083095455	123
0.0067104671724227466	124
0.006715513129654135	125
0.006865015366102031	126
0.006974848271662277	127
0.006997999257103326	128
0.007042839535184701	129
0.007132347767954355	130
0.007198600541247223	131
0.007200018098868172	132
0.007206893142896906	133
0.007219199413732649	134
0.007302518304954219	135
0.007307396102727573	136
0.007336797863532419	136
0.007343346985177806	137
0.007375850392464459	137
0.007462024627737473	138
0.0075370358958804905	139
0.007608671403013909	140
0.007644167803333019	141
0.0076510534594074414	142
0.007654848150204382	142
0.0077100862403829944	143
0.007766171256227476	144
0.007785949701276881	145
0.00778859598941606	146
0.0077902115873132	146
0.007811984617296375	147
