method	metric	value	signal_strength	rep
BH	power	0	1	6
Leaf_BH	power	0	1	6
Focused_BH_original	power	0	1	6
Yekutieli	power	0	1	6
Structured_Holm	power	0	1	6
BH	fdp	0	1	6
Leaf_BH	fdp	0	1	6
Focused_BH_original	fdp	0	1	6
Yekutieli	fdp	0	1	6
Structured_Holm	fdp	0	1	6
BH	power	0	1	19
Leaf_BH	power	0	1	19
Focused_BH_original	power	0	1	19
Yekutieli	power	0	1	19
Structured_Holm	power	0	1	19
BH	fdp	0	1	19
Leaf_BH	fdp	0	1	19
Focused_BH_original	fdp	0	1	19
Yekutieli	fdp	0	1	19
Structured_Holm	fdp	0	1	19
BH	power	0	1	32
Leaf_BH	power	0	1	32
Focused_BH_original	power	0	1	32
Yekutieli	power	0	1	32
Structured_Holm	power	0	1	32
BH	fdp	0	1	32
Leaf_BH	fdp	0	1	32
Focused_BH_original	fdp	0	1	32
Yekutieli	fdp	0	1	32
Structured_Holm	fdp	0	1	32
BH	power	0	1	45
Leaf_BH	power	0	1	45
Focused_BH_original	power	0	1	45
Yekutieli	power	0	1	45
Structured_Holm	power	0	1	45
BH	fdp	0	1	45
Leaf_BH	fdp	0	1	45
Focused_BH_original	fdp	0	1	45
Yekutieli	fdp	0	1	45
Structured_Holm	fdp	0	1	45
BH	power	0	1	58
Leaf_BH	power	0	1	58
Focused_BH_original	power	0	1	58
Yekutieli	power	0	1	58
Structured_Holm	power	0	1	58
BH	fdp	0	1	58
Leaf_BH	fdp	0	1	58
Focused_BH_original	fdp	0	1	58
Yekutieli	fdp	0	1	58
Structured_Holm	fdp	0	1	58
BH	power	0	1	71
Leaf_BH	power	0	1	71
Focused_BH_original	power	0	1	71
Yekutieli	power	0	1	71
Structured_Holm	power	0	1	71
BH	fdp	0	1	71
Leaf_BH	fdp	0	1	71
Focused_BH_original	fdp	0	1	71
Yekutieli	fdp	0	1	71
Structured_Holm	fdp	0	1	71
BH	power	0	1	84
Leaf_BH	power	0	1	84
Focused_BH_original	power	0	1	84
Yekutieli	power	0	1	84
Structured_Holm	power	0	1	84
BH	fdp	0	1	84
Leaf_BH	fdp	0	1	84
Focused_BH_original	fdp	0	1	84
Yekutieli	fdp	0	1	84
Structured_Holm	fdp	0	1	84
BH	power	0	1	97
Leaf_BH	power	0	1	97
Focused_BH_original	power	0	1	97
Yekutieli	power	0	1	97
Structured_Holm	power	0	1	97
BH	fdp	0	1	97
Leaf_BH	fdp	0	1	97
Focused_BH_original	fdp	0	1	97
Yekutieli	fdp	0	1	97
Structured_Holm	fdp	0	1	97
BH	power	0	1	110
Leaf_BH	power	0	1	110
Focused_BH_original	power	0	1	110
Yekutieli	power	0	1	110
Structured_Holm	power	0	1	110
BH	fdp	0	1	110
Leaf_BH	fdp	0	1	110
Focused_BH_original	fdp	0	1	110
Yekutieli	fdp	0	1	110
Structured_Holm	fdp	0	1	110
BH	power	0	1	123
Leaf_BH	power	0	1	123
Focused_BH_original	power	0	1	123
Yekutieli	power	0	1	123
Structured_Holm	power	0	1	123
BH	fdp	0	1	123
Leaf_BH	fdp	0	1	123
Focused_BH_original	fdp	0	1	123
Yekutieli	fdp	0	1	123
Structured_Holm	fdp	0	1	123
BH	power	0	1	136
Leaf_BH	power	0	1	136
Focused_BH_original	power	0	1	136
Yekutieli	power	0	1	136
Structured_Holm	power	0	1	136
BH	fdp	1	1	136
Leaf_BH	fdp	1	1	136
Focused_BH_original	fdp	1	1	136
Yekutieli	fdp	0	1	136
Structured_Holm	fdp	1	1	136
BH	power	0	1	149
Leaf_BH	power	0	1	149
Focused_BH_original	power	0	1	149
Yekutieli	power	0	1	149
Structured_Holm	power	0	1	149
BH	fdp	0	1	149
Leaf_BH	fdp	0	1	149
Focused_BH_original	fdp	0	1	149
Yekutieli	fdp	0	1	149
Structured_Holm	fdp	0	1	149
BH	power	0	1	162
Leaf_BH	power	0	1	162
Focused_BH_original	power	0	1	162
Yekutieli	power	0	1	162
Structured_Holm	power	0	1	162
BH	fdp	0	1	162
Leaf_BH	fdp	0	1	162
Focused_BH_original	fdp	0	1	162
Yekutieli	fdp	0	1	162
Structured_Holm	fdp	0	1	162
BH	power	0	1	175
Leaf_BH	power	0	1	175
Focused_BH_original	power	0	1	175
Yekutieli	power	0	1	175
Structured_Holm	power	0	1	175
BH	fdp	1	1	175
Leaf_BH	fdp	1	1	175
Focused_BH_original	fdp	1	1	175
Yekutieli	fdp	0	1	175
Structured_Holm	fdp	1	1	175
BH	power	0	1	188
Leaf_BH	power	0	1	188
Focused_BH_original	power	0	1	188
Yekutieli	power	0	1	188
Structured_Holm	power	0	1	188
BH	fdp	0	1	188
Leaf_BH	fdp	0	1	188
Focused_BH_original	fdp	0	1	188
Yekutieli	fdp	0	1	188
Structured_Holm	fdp	0	1	188
BH	power	0	1	201
Leaf_BH	power	0	1	201
Focused_BH_original	power	0	1	201
Yekutieli	power	0	1	201
Structured_Holm	power	0	1	201
BH	fdp	0	1	201
Leaf_BH	fdp	0	1	201
Focused_BH_original	fdp	0	1	201
Yekutieli	fdp	0	1	201
Structured_Holm	fdp	0	1	201
BH	power	0	1	214
Leaf_BH	power	0	1	214
Focused_BH_original	power	0	1	214
Yekutieli	power	0	1	214
Structured_Holm	power	0	1	214
BH	fdp	0	1	214
Leaf_BH	fdp	0	1	214
Focused_BH_original	fdp	0	1	214
Yekutieli	fdp	0	1	214
Structured_Holm	fdp	0	1	214
BH	power	0	1	227
Leaf_BH	power	0	1	227
Focused_BH_original	power	0	1	227
Yekutieli	power	0	1	227
Structured_Holm	power	0	1	227
BH	fdp	0	1	227
Leaf_BH	fdp	0	1	227
Focused_BH_original	fdp	0	1	227
Yekutieli	fdp	0	1	227
Structured_Holm	fdp	0	1	227
BH	power	0	1	240
Leaf_BH	power	0	1	240
Focused_BH_original	power	0	1	240
Yekutieli	power	0	1	240
Structured_Holm	power	0	1	240
BH	fdp	1	1	240
Leaf_BH	fdp	1	1	240
Focused_BH_original	fdp	1	1	240
Yekutieli	fdp	0	1	240
Structured_Holm	fdp	1	1	240
BH	power	0	1.5	3
Leaf_BH	power	0	1.5	3
Focused_BH_original	power	0	1.5	3
Yekutieli	power	0	1.5	3
Structured_Holm	power	0	1.5	3
BH	fdp	0	1.5	3
Leaf_BH	fdp	0	1.5	3
Focused_BH_original	fdp	0	1.5	3
Yekutieli	fdp	0	1.5	3
Structured_Holm	fdp	0	1.5	3
BH	power	0	1.5	16
Leaf_BH	power	0	1.5	16
Focused_BH_original	power	0	1.5	16
Yekutieli	power	0	1.5	16
Structured_Holm	power	0	1.5	16
BH	fdp	0	1.5	16
Leaf_BH	fdp	0	1.5	16
Focused_BH_original	fdp	0	1.5	16
Yekutieli	fdp	0	1.5	16
Structured_Holm	fdp	0	1.5	16
BH	power	0	1.5	29
Leaf_BH	power	0	1.5	29
Focused_BH_original	power	0	1.5	29
Yekutieli	power	0	1.5	29
Structured_Holm	power	0	1.5	29
BH	fdp	0	1.5	29
Leaf_BH	fdp	0	1.5	29
Focused_BH_original	fdp	0	1.5	29
Yekutieli	fdp	0	1.5	29
Structured_Holm	fdp	0	1.5	29
BH	power	0	1.5	42
Leaf_BH	power	0	1.5	42
Focused_BH_original	power	0	1.5	42
Yekutieli	power	0	1.5	42
Structured_Holm	power	0	1.5	42
BH	fdp	0	1.5	42
Leaf_BH	fdp	0	1.5	42
Focused_BH_original	fdp	0	1.5	42
Yekutieli	fdp	0	1.5	42
Structured_Holm	fdp	0	1.5	42
BH	power	0	1.5	55
Leaf_BH	power	0	1.5	55
Focused_BH_original	power	0	1.5	55
Yekutieli	power	0	1.5	55
Structured_Holm	power	0	1.5	55
BH	fdp	0	1.5	55
Leaf_BH	fdp	0	1.5	55
Focused_BH_original	fdp	0	1.5	55
Yekutieli	fdp	0	1.5	55
Structured_Holm	fdp	0	1.5	55
BH	power	0	1.5	68
Leaf_BH	power	0	1.5	68
Focused_BH_original	power	0	1.5	68
Yekutieli	power	0	1.5	68
Structured_Holm	power	0	1.5	68
BH	fdp	0	1.5	68
Leaf_BH	fdp	0	1.5	68
Focused_BH_original	fdp	0	1.5	68
Yekutieli	fdp	0	1.5	68
Structured_Holm	fdp	0	1.5	68
BH	power	0	1.5	81
Leaf_BH	power	0	1.5	81
Focused_BH_original	power	0	1.5	81
Yekutieli	power	0	1.5	81
Structured_Holm	power	0	1.5	81
BH	fdp	1	1.5	81
Leaf_BH	fdp	1	1.5	81
Focused_BH_original	fdp	1	1.5	81
Yekutieli	fdp	0	1.5	81
Structured_Holm	fdp	1	1.5	81
BH	power	1	1.5	94
Leaf_BH	power	1	1.5	94
Focused_BH_original	power	1	1.5	94
Yekutieli	power	0	1.5	94
Structured_Holm	power	1	1.5	94
BH	fdp	0.5	1.5	94
Leaf_BH	fdp	0.5	1.5	94
Focused_BH_original	fdp	0.5	1.5	94
Yekutieli	fdp	0	1.5	94
Structured_Holm	fdp	0	1.5	94
BH	power	0	1.5	107
Leaf_BH	power	0	1.5	107
Focused_BH_original	power	0	1.5	107
Yekutieli	power	0	1.5	107
Structured_Holm	power	0	1.5	107
BH	fdp	0	1.5	107
Leaf_BH	fdp	0	1.5	107
Focused_BH_original	fdp	0	1.5	107
Yekutieli	fdp	0	1.5	107
Structured_Holm	fdp	0	1.5	107
BH	power	0	1.5	120
Leaf_BH	power	0	1.5	120
Focused_BH_original	power	0	1.5	120
Yekutieli	power	0	1.5	120
Structured_Holm	power	0	1.5	120
BH	fdp	0	1.5	120
Leaf_BH	fdp	0	1.5	120
Focused_BH_original	fdp	0	1.5	120
Yekutieli	fdp	0	1.5	120
Structured_Holm	fdp	0	1.5	120
BH	power	0	1.5	133
Leaf_BH	power	0	1.5	133
Focused_BH_original	power	0	1.5	133
Yekutieli	power	0	1.5	133
Structured_Holm	power	0	1.5	133
BH	fdp	0	1.5	133
Leaf_BH	fdp	0	1.5	133
Focused_BH_original	fdp	0	1.5	133
Yekutieli	fdp	0	1.5	133
Structured_Holm	fdp	0	1.5	133
BH	power	0	1.5	146
Leaf_BH	power	0	1.5	146
Focused_BH_original	power	0	1.5	146
Yekutieli	power	0	1.5	146
Structured_Holm	power	0	1.5	146
BH	fdp	0	1.5	146
Leaf_BH	fdp	0	1.5	146
Focused_BH_original	fdp	0	1.5	146
Yekutieli	fdp	0	1.5	146
Structured_Holm	fdp	0	1.5	146
BH	power	0	1.5	159
Leaf_BH	power	0	1.5	159
Focused_BH_original	power	0	1.5	159
Yekutieli	power	0	1.5	159
Structured_Holm	power	0	1.5	159
BH	fdp	0	1.5	159
Leaf_BH	fdp	0	1.5	159
Focused_BH_original	fdp	0	1.5	159
Yekutieli	fdp	0	1.5	159
Structured_Holm	fdp	0	1.5	159
BH	power	0	1.5	172
Leaf_BH	power	0	1.5	172
Focused_BH_original	power	0	1.5	172
Yekutieli	power	0	1.5	172
Structured_Holm	power	0	1.5	172
BH	fdp	0	1.5	172
Leaf_BH	fdp	0	1.5	172
Focused_BH_original	fdp	0	1.5	172
Yekutieli	fdp	0	1.5	172
Structured_Holm	fdp	0	1.5	172
BH	power	0	1.5	185
Leaf_BH	power	0	1.5	185
Focused_BH_original	power	0	1.5	185
Yekutieli	power	0	1.5	185
Structured_Holm	power	0	1.5	185
