method	metric	value	signal_strength	rep
Structured_Holm	power	0	1	226
BH	fdp	0	1	226
Leaf_BH	fdp	0	1	226
Focused_BH_original	fdp	0	1	226
Yekutieli	fdp	0	1	226
Structured_Holm	fdp	0	1	226
BH	power	0	1	239
Leaf_BH	power	0	1	239
Focused_BH_original	power	0	1	239
Yekutieli	power	0	1	239
Structured_Holm	power	0	1	239
BH	fdp	0	1	239
Leaf_BH	fdp	0	1	239
Focused_BH_original	fdp	0	1	239
Yekutieli	fdp	0	1	239
Structured_Holm	fdp	0	1	239
BH	power	0	1.5	2
Leaf_BH	power	0	1.5	2
Focused_BH_original	power	0	1.5	2
Yekutieli	power	0	1.5	2
Structured_Holm	power	0	1.5	2
BH	fdp	0	1.5	2
Leaf_BH	fdp	0	1.5	2
Focused_BH_original	fdp	0	1.5	2
Yekutieli	fdp	0	1.5	2
Structured_Holm	fdp	0	1.5	2
BH	power	1	1.5	15
Leaf_BH	power	1	1.5	15
Focused_BH_original	power	1	1.5	15
Yekutieli	power	0	1.5	15
Structured_Holm	power	1	1.5	15
BH	fdp	0.5	1.5	15
Leaf_BH	fdp	0.5	1.5	15
Focused_BH_original	fdp	0.5	1.5	15
Yekutieli	fdp	0	1.5	15
Structured_Holm	fdp	0	1.5	15
BH	power	0	1.5	28
Leaf_BH	power	0	1.5	28
Focused_BH_original	power	0	1.5	28
Yekutieli	power	0	1.5	28
Structured_Holm	power	0	1.5	28
BH	fdp	0	1.5	28
Leaf_BH	fdp	0	1.5	28
Focused_BH_original	fdp	0	1.5	28
Yekutieli	fdp	0	1.5	28
Structured_Holm	fdp	0	1.5	28
BH	power	0	1.5	41
Leaf_BH	power	0	1.5	41
Focused_BH_original	power	0	1.5	41
Yekutieli	power	0	1.5	41
Structured_Holm	power	0	1.5	41
BH	fdp	0	1.5	41
Leaf_BH	fdp	0	1.5	41
Focused_BH_original	fdp	0	1.5	41
Yekutieli	fdp	0	1.5	41
Structured_Holm	fdp	0	1.5	41
BH	power	0	1.5	54
Leaf_BH	power	0	1.5	54
Focused_BH_original	power	0	1.5	54
Yekutieli	power	0	1.5	54
Structured_Holm	power	0	1.5	54
BH	fdp	0	1.5	54
Leaf_BH	fdp	0	1.5	54
Focused_BH_original	fdp	0	1.5	54
Yekutieli	fdp	0	1.5	54
Structured_Holm	fdp	0	1.5	54
BH	power	0	1.5	67
Leaf_BH	power	0	1.5	67
Focused_BH_original	power	0	1.5	67
Yekutieli	power	0	1.5	67
Structured_Holm	power	0	1.5	67
BH	fdp	0	1.5	67
Leaf_BH	fdp	0	1.5	67
Focused_BH_original	fdp	0	1.5	67
Yekutieli	fdp	0	1.5	67
Structured_Holm	fdp	0	1.5	67
BH	power	0	1.5	80
Leaf_BH	power	0	1.5	80
Focused_BH_original	power	0	1.5	80
Yekutieli	power	0	1.5	80
Structured_Holm	power	0	1.5	80
BH	fdp	0	1.5	80
Leaf_BH	fdp	0	1.5	80
Focused_BH_original	fdp	0	1.5	80
Yekutieli	fdp	0	1.5	80
Structured_Holm	fdp	0	1.5	80
BH	power	0	1.5	93
Leaf_BH	power	0	1.5	93
Focused_BH_original	power	0	1.5	93
Yekutieli	power	0	1.5	93
Structured_Holm	power	0	1.5	93
BH	fdp	0	1.5	93
Leaf_BH	fdp	0	1.5	93
Focused_BH_original	fdp	0	1.5	93
Yekutieli	fdp	0	1.5	93
Structured_Holm	fdp	0	1.5	93
BH	power	2	1.5	106
Leaf_BH	power	2	1.5	106
Focused_BH_original	power	2	1.5	106
Yekutieli	power	0	1.5	106
Structured_Holm	power	1	1.5	106
BH	fdp	0	1.5	106
Leaf_BH	fdp	0	1.5	106
Focused_BH_original	fdp	0	1.5	106
Yekutieli	fdp	0	1.5	106
Structured_Holm	fdp	0	1.5	106
BH	power	0	1.5	119
Leaf_BH	power	0	1.5	119
Focused_BH_original	power	0	1.5	119
Yekutieli	power	0	1.5	119
Structured_Holm	power	0	1.5	119
BH	fdp	0	1.5	119
Leaf_BH	fdp	0	1.5	119
Focused_BH_original	fdp	0	1.5	119
Yekutieli	fdp	0	1.5	119
Structured_Holm	fdp	0	1.5	119
BH	power	0	1.5	132
Leaf_BH	power	0	1.5	132
Focused_BH_original	power	0	1.5	132
Yekutieli	power	0	1.5	132
Structured_Holm	power	0	1.5	132
BH	fdp	0	1.5	132
Leaf_BH	fdp	0	1.5	132
Focused_BH_original	fdp	0	1.5	132
Yekutieli	fdp	0	1.5	132
Structured_Holm	fdp	0	1.5	132
BH	power	0	1.5	145
Leaf_BH	power	0	1.5	145
Focused_BH_original	power	0	1.5	145
Yekutieli	power	0	1.5	145
Structured_Holm	power	0	1.5	145
BH	fdp	0	1.5	145
Leaf_BH	fdp	0	1.5	145
Focused_BH_original	fdp	0	1.5	145
Yekutieli	fdp	0	1.5	145
